game,map_id,true_creator,experiment1_belief,experiment1_confidence,blind_fun,exp1_fun,blind_challenging,exp1_challenging,blind_frustrating,exp1_frustrating,blind_surprising,exp1_surprising,blind_design,exp1_design
mario,1AC82kGG,Human,Human,2.6,3.75,3.7,3.65,2.65,1.65,1.1,2.75,1.9,3.5,3.65
mario,4PFJlLdR,AI,Human,2.85,3.95,3.6,2.85,2.85,1.65,1.5,2.9,1.7,3.7,3.3
mario,4bMZDbcE,Human,AI,2.9,2.05,2.15,3.45,1.55,3.35,1.3,2.1,1.05,1.65,1.65
mario,8cgqvaZu,AI,Human,2.65,3.1,3.35,3.6,2.7,2.5,1.5,1.65,1.5,2.6,2.95
mario,9Y6J8Rb8,AI,Human,2.65,2.0,3.2,3.5,2.3,3.6,1.45,1.7,1.35,1.6,2.8
mario,Jvmo5e7c,Human,Human,2.75,3.7,3.15,2.75,1.8,1.3,1.3,2.15,1.15,3.6,2.75
mario,KKZ1dszi,AI,Human,2.9,3.3,3.4,3.95,2.3,2.35,1.15,2.4,1.4,2.5,3.05
mario,RtKfCoTJ,Human,AI,2.65,2.05,1.3,1.65,1.2,1.95,1.25,1.3,1.1,1.75,1.15
mario,S7F69Idf,AI,AI,2.6,2.0,2.6,2.0,1.25,2.2,1.0,2.25,1.0,1.7,2.2
mario,U3v9pEvF,AI,AI,2.85,2.75,2.9,2.35,2.05,2.0,1.2,2.95,1.3,2.4,2.55
mario,V5XEzcZd,Human,AI,2.9,2.8,2.45,2.45,1.25,2.2,1.3,2.7,1.3,1.95,1.8
mario,XYTl4EzV,Human,AI,3.0,1.0,1.05,1.05,1.0,3.95,3.05,2.5,1.85,1.0,1.0
mario,Xd8WtCNl,AI,AI,2.8,3.55,2.9,3.35,2.4,1.75,1.35,2.5,1.3,2.8,2.5
mario,br59gvRp,AI,AI,2.75,1.9,1.5,2.65,1.7,3.0,2.5,1.9,1.8,1.5,1.25
mario,dwIZVZn4,AI,AI,2.65,2.6,2.25,3.0,1.65,2.7,1.5,1.7,1.3,2.35,1.9
mario,fc3fEIzT,Human,AI,2.85,2.8,1.3,1.45,1.0,1.6,1.45,1.6,1.35,2.2,1.1
mario,gZGPAuuB,Human,Human,3.0,1.9,3.95,1.45,1.35,1.3,1.0,1.5,1.05,1.55,3.7
mario,gngXYJwH,AI,Human,3.0,3.6,4.05,2.25,2.2,1.2,1.0,3.45,2.65,2.8,3.95
mario,ktod92pA,Human,AI,2.85,2.0,2.1,3.9,2.75,4.6,4.1,2.7,2.2,1.65,1.7
mario,lY6ELCJ9,Human,AI,2.9,2.0,2.8,2.75,1.7,2.85,1.0,3.9,1.45,1.45,2.35
mario,lgoBPkQB,AI,Human,2.85,3.4,3.25,1.75,1.1,1.0,1.0,3.0,1.5,3.25,2.9
mario,mmMjssLU,AI,AI,2.75,1.6,2.75,1.6,1.2,3.25,1.0,3.1,1.3,1.1,2.2
mario,oGL3xUR2,Human,AI,2.75,1.6,2.05,1.0,1.0,1.25,1.0,2.75,1.15,1.35,1.65
mario,pY9KB33X,Human,AI,2.75,1.8,3.0,3.15,2.05,3.05,1.5,2.15,1.3,1.4,2.55
mario,tMYRotFs,Human,AI,2.95,1.6,2.05,3.0,2.0,3.75,2.15,2.2,1.2,1.4,1.5
mario,ueNqeTXa,AI,AI,2.85,2.4,1.5,3.45,1.8,3.35,2.55,2.25,1.65,2.1,1.35
mario,vHybWiYq,AI,AI,2.95,1.8,1.8,4.0,1.65,4.35,2.5,3.4,1.8,1.55,1.55
mario,x3V9NLQt,Human,Human,2.65,3.5,3.3,1.85,1.4,1.0,1.0,1.3,1.0,2.8,2.85
mario,xYnV8Xi7,AI,AI,3.0,1.0,1.15,3.25,1.6,5.0,4.05,2.2,1.35,1.05,1.1
mario,yAXhWaGh,Human,AI,3.0,1.05,1.0,2.55,1.4,5.0,4.75,3.35,2.35,1.0,1.0
sokoban,2v2qgbvC,Human,AI,2.65,1.65,1.55,1.05,1.0,1.1,1.0,1.0,1.0,1.45,1.526
sokoban,3xtQxBWH,Human,Human,2.75,3.75,3.65,2.6,2.65,1.75,1.35,1.45,1.6,3.75,3.85
sokoban,5Au4nrI2,Human,Human,2.25,3.1,3.15,2.5,2.05,1.85,1.35,1.15,1.15,3.0,3.15
sokoban,5iXJGqnK,AI,Human,2.45,3.6,3.35,2.55,2.15,1.6,1.15,1.5,1.35,3.35,3.05
sokoban,73sJaNBn,Human,Human,2.65,3.1,2.8,2.1,1.8,1.1,1.6,1.3,1.5,2.9,2.65
sokoban,79DSy6TF,AI,AI,2.45,2.2,1.45,1.45,1.0,2.9,1.6,1.45,1.05,2.0,1.55
sokoban,7V2mu5KA,Human,Human,2.65,3.65,3.0,2.2,1.4,1.35,1.05,1.3,1.0,3.5,2.8
sokoban,8Ua6YU1D,Human,Human,2.6,2.45,1.45,1.5,1.0,1.4,1.5,1.75,1.05,2.35,1.45
sokoban,H77pn4iQ,AI,Human,2.4,3.8,3.8,2.9,3.35,1.6,1.65,1.4,1.95,3.75,3.85
sokoban,HjLVlKx4,Human,Human,2.65,3.5,2.75,2.55,1.85,1.6,1.3,1.2,1.35,3.35,2.75
sokoban,Iz5BqRyu,AI,Human,2.6,3.7,3.5,3.1,2.4,2.1,1.2,1.75,1.65,3.7,3.45
sokoban,LUiVjpMm,AI,AI,2.8,2.4,1.75,1.55,1.7,1.3,1.6,1.15,1.35,2.3,1.9
sokoban,QUT4qGl2,Human,Human,2.3,3.65,3.85,3.25,2.9,2.05,1.55,1.6,1.9,3.75,3.95
sokoban,QV6Qfb7T,AI,Human,2.55,3.65,3.5,2.75,2.55,1.65,1.45,1.35,1.65,3.55,3.45
sokoban,ROciIZDL,Human,AI,2.5,3.65,3.5,2.6,2.4,1.5,1.05,1.25,1.4,3.45,3.55
sokoban,TIXMBKaj,Human,Human,2.85,3.6,3.35,2.95,2.15,1.8,1.15,1.45,1.35,3.55,3.2
sokoban,UTSKBMio,AI,Human,2.6,3.7,3.0,2.3,1.95,1.3,1.45,1.4,1.45,3.45,2.95
sokoban,UeeTjy5b,AI,AI,2.6,2.15,1.25,1.0,1.0,1.0,1.2,1.0,1.15,1.7,1.55
sokoban,Z0SxyjXq,Human,Human,2.25,2.9,3.1,2.5,1.8,2.1,1.1,1.55,1.3,2.8,3.2
sokoban,aE7sjnta,AI,Human,2.55,2.6,1.45,1.35,1.0,2.05,1.4,1.3,1.0,2.05,1.6
sokoban,bhRr4CCv,Human,Human,2.65,3.5,3.8,3.15,3.15,2.1,1.75,1.25,1.9,3.45,4.2
sokoban,cHhvQJlr,AI,Human,2.7,2.5,2.55,1.65,1.3,1.6,1.0,1.1,1.1,2.5,2.45
sokoban,cTxMstwv,AI,Human,2.65,3.05,3.1,1.8,1.6,1.05,1.1,1.0,1.25,2.5,2.85
sokoban,extLxWet,AI,AI,2.55,2.95,2.9,1.95,1.35,1.2,1.0,1.1,1.1,2.65,2.6
sokoban,f8sbFI0a,Human,Human,2.45,2.75,3.2,1.65,1.7,1.0,1.05,1.05,1.3,2.6,3.05
sokoban,iJNJxWfZ,Human,Human,2.8,3.45,3.85,2.45,2.5,1.8,1.25,1.35,1.7,3.5,4.05
sokoban,ij6onaGt,AI,AI,2.55,3.7,3.35,2.65,2.0,1.45,1.05,1.5,1.55,3.5,3.25
sokoban,oHSLE5UO,AI,AI,2.4,1.8,1.65,1.05,1.0,1.0,1.0,1.0,1.0,1.632,1.5
sokoban,t7mUz3Qe,Human,Human,2.75,2.2,2.25,1.1,1.0,1.05,1.0,1.0,1.0,1.95,2.15
sokoban,wSCVt298,AI,Human,2.55,2.4,1.7,1.1,1.05,1.75,1.45,1.05,1.1,1.8,1.7
