metric,game,map_id,true_creator,forced_human,forced_ai,delta_ai_minus_human,plot_forced_human,plot_forced_ai,plot_delta_ai_minus_human
fun,mario,1AC82kGG,Human,3.65,2.95,-0.6999999999999997,3.65,2.95,-0.6999999999999997
fun,mario,4PFJlLdR,AI,3.8,2.65,-1.15,3.8,2.65,-1.15
fun,mario,4bMZDbcE,Human,2.1,1.95,-0.15000000000000013,2.1,1.95,-0.15000000000000013
fun,mario,8cgqvaZu,AI,2.8,3.0,0.20000000000000018,2.8,3.0,0.20000000000000018
fun,mario,9Y6J8Rb8,AI,1.5,2.3,0.7999999999999998,1.5,2.3,0.7999999999999998
fun,mario,Jvmo5e7c,Human,3.35,2.95,-0.3999999999999999,3.35,2.95,-0.3999999999999999
fun,mario,KKZ1dszi,AI,2.15,2.45,0.30000000000000027,2.15,2.45,0.30000000000000027
fun,mario,RtKfCoTJ,Human,1.75,1.25,-0.5,1.75,1.25,-0.5
fun,mario,S7F69Idf,AI,2.65,2.45,-0.19999999999999973,2.65,2.45,-0.19999999999999973
fun,mario,U3v9pEvF,AI,2.7,2.35,-0.3500000000000001,2.7,2.35,-0.3500000000000001
fun,mario,V5XEzcZd,Human,2.1,2.8,0.6999999999999997,2.1,2.8,0.6999999999999997
fun,mario,XYTl4EzV,Human,1.05,1.0,-0.050000000000000044,1.05,1.0,-0.050000000000000044
fun,mario,Xd8WtCNl,AI,3.05,3.1,0.050000000000000266,3.05,3.1,0.050000000000000266
fun,mario,br59gvRp,AI,1.3,1.15,-0.15000000000000013,1.3,1.15,-0.15000000000000013
fun,mario,dwIZVZn4,AI,1.9,1.9,0.0,1.9,1.9,0.0
fun,mario,fc3fEIzT,Human,1.75,1.55,-0.19999999999999996,1.75,1.55,-0.19999999999999996
fun,mario,gZGPAuuB,Human,3.1,2.85,-0.25,3.1,2.85,-0.25
fun,mario,gngXYJwH,AI,3.6,3.3,-0.30000000000000027,3.6,3.3,-0.30000000000000027
fun,mario,ktod92pA,Human,1.75,1.55,-0.19999999999999996,1.75,1.55,-0.19999999999999996
fun,mario,lY6ELCJ9,Human,2.8,3.05,0.25,2.8,3.05,0.25
fun,mario,lgoBPkQB,AI,2.9,2.1,-0.7999999999999998,2.9,2.1,-0.7999999999999998
fun,mario,mmMjssLU,AI,2.4,1.85,-0.5499999999999998,2.4,1.85,-0.5499999999999998
fun,mario,oGL3xUR2,Human,1.7,1.2,-0.5,1.7,1.2,-0.5
fun,mario,pY9KB33X,Human,2.3,2.35,0.050000000000000266,2.3,2.35,0.050000000000000266
fun,mario,tMYRotFs,Human,1.95,1.35,-0.5999999999999999,1.95,1.35,-0.5999999999999999
fun,mario,ueNqeTXa,AI,1.45,1.55,0.10000000000000009,1.45,1.55,0.10000000000000009
fun,mario,vHybWiYq,AI,2.0,1.3,-0.7,2.0,1.3,-0.7
fun,mario,x3V9NLQt,Human,2.9,2.85,-0.04999999999999982,2.9,2.85,-0.04999999999999982
fun,mario,xYnV8Xi7,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,yAXhWaGh,Human,1.05,1.05,0.0,1.05,1.05,0.0
fun,sokoban,2v2qgbvC,Human,1.7,1.55,-0.1499999999999999,1.7,1.55,-0.1499999999999999
fun,sokoban,3xtQxBWH,Human,3.65,3.2,-0.44999999999999973,3.65,3.2,-0.44999999999999973
fun,sokoban,5Au4nrI2,Human,3.2,2.9,-0.30000000000000027,3.2,2.9,-0.30000000000000027
fun,sokoban,5iXJGqnK,AI,3.5,3.15,-0.3500000000000001,3.5,3.15,-0.3500000000000001
fun,sokoban,73sJaNBn,Human,2.95,2.35,-0.6000000000000001,2.95,2.35,-0.6000000000000001
fun,sokoban,79DSy6TF,AI,1.35,1.8,0.44999999999999996,1.35,1.8,0.44999999999999996
fun,sokoban,7V2mu5KA,Human,3.65,2.4,-1.25,3.65,2.4,-1.25
fun,sokoban,8Ua6YU1D,Human,2.0,1.55,-0.44999999999999996,2.0,1.55,-0.44999999999999996
fun,sokoban,H77pn4iQ,AI,3.85,3.45,-0.3999999999999999,3.85,3.45,-0.3999999999999999
fun,sokoban,HjLVlKx4,Human,2.9,2.2,-0.6999999999999997,2.9,2.2,-0.6999999999999997
fun,sokoban,Iz5BqRyu,AI,3.45,2.9,-0.5500000000000003,3.45,2.9,-0.5500000000000003
fun,sokoban,LUiVjpMm,AI,1.85,1.75,-0.10000000000000009,1.85,1.75,-0.10000000000000009
fun,sokoban,QUT4qGl2,Human,3.6,3.25,-0.3500000000000001,3.6,3.25,-0.3500000000000001
fun,sokoban,QV6Qfb7T,AI,3.7,3.1,-0.6000000000000001,3.7,3.1,-0.6000000000000001
fun,sokoban,ROciIZDL,Human,3.65,3.05,-0.6000000000000001,3.65,3.05,-0.6000000000000001
fun,sokoban,TIXMBKaj,Human,3.3,3.0,-0.2999999999999998,3.3,3.0,-0.2999999999999998
