metric,game,map_id,run_index,true_creator,forced_human,forced_ai,delta_ai_minus_human,plot_forced_human,plot_forced_ai,plot_delta_ai_minus_human
fun,mario,1AC82kGG,1,Human,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,1AC82kGG,2,Human,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,1AC82kGG,3,Human,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,1AC82kGG,4,Human,4.0,4.0,0.0,4.0,4.0,0.0
fun,mario,1AC82kGG,5,Human,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,1AC82kGG,6,Human,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,1AC82kGG,7,Human,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,1AC82kGG,8,Human,5.0,3.0,-2.0,5.0,3.0,-2.0
fun,mario,1AC82kGG,9,Human,3.0,4.0,1.0,3.0,4.0,1.0
fun,mario,1AC82kGG,10,Human,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,1AC82kGG,11,Human,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,1AC82kGG,12,Human,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,1AC82kGG,13,Human,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,1AC82kGG,14,Human,3.0,4.0,1.0,3.0,4.0,1.0
fun,mario,1AC82kGG,15,Human,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,1AC82kGG,16,Human,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,1AC82kGG,17,Human,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,1AC82kGG,18,Human,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,1AC82kGG,19,Human,3.0,4.0,1.0,3.0,4.0,1.0
fun,mario,1AC82kGG,20,Human,4.0,4.0,0.0,4.0,4.0,0.0
fun,mario,4PFJlLdR,1,AI,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,4PFJlLdR,2,AI,4.0,1.0,-3.0,4.0,1.0,-3.0
fun,mario,4PFJlLdR,3,AI,3.0,1.0,-2.0,3.0,1.0,-2.0
fun,mario,4PFJlLdR,4,AI,5.0,4.0,-1.0,5.0,4.0,-1.0
fun,mario,4PFJlLdR,5,AI,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,4PFJlLdR,6,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,4PFJlLdR,7,AI,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,4PFJlLdR,8,AI,5.0,2.0,-3.0,5.0,2.0,-3.0
fun,mario,4PFJlLdR,9,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,4PFJlLdR,10,AI,5.0,1.0,-4.0,5.0,1.0,-4.0
fun,mario,4PFJlLdR,11,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,4PFJlLdR,12,AI,5.0,4.0,-1.0,5.0,4.0,-1.0
fun,mario,4PFJlLdR,13,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,4PFJlLdR,14,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,4PFJlLdR,15,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,4PFJlLdR,16,AI,2.0,4.0,2.0,2.0,4.0,2.0
fun,mario,4PFJlLdR,17,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,4PFJlLdR,18,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,4PFJlLdR,19,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,4PFJlLdR,20,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,4bMZDbcE,1,Human,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,4bMZDbcE,2,Human,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,4bMZDbcE,3,Human,3.0,1.0,-2.0,3.0,1.0,-2.0
fun,mario,4bMZDbcE,4,Human,3.0,1.0,-2.0,3.0,1.0,-2.0
fun,mario,4bMZDbcE,5,Human,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,4bMZDbcE,6,Human,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,4bMZDbcE,7,Human,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,4bMZDbcE,8,Human,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,4bMZDbcE,9,Human,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,4bMZDbcE,10,Human,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,4bMZDbcE,11,Human,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,4bMZDbcE,12,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,4bMZDbcE,13,Human,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,4bMZDbcE,14,Human,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,4bMZDbcE,15,Human,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,4bMZDbcE,16,Human,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,4bMZDbcE,17,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,4bMZDbcE,18,Human,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,4bMZDbcE,19,Human,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,4bMZDbcE,20,Human,3.0,4.0,1.0,3.0,4.0,1.0
fun,mario,8cgqvaZu,1,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,8cgqvaZu,2,AI,2.0,4.0,2.0,2.0,4.0,2.0
fun,mario,8cgqvaZu,3,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
