metric,game,map_id,run_index,true_creator,forced_human,forced_ai,delta_ai_minus_human,forced_human_std,forced_ai_std,mean_condition_std,plot_forced_human,plot_forced_ai,plot_delta_ai_minus_human
fun,mario,1AC82kGG,,Human,3.65,2.95,-0.6999999999999997,0.572,0.74,0.6559999999999999,3.65,2.95,-0.6999999999999997
fun,mario,4PFJlLdR,,AI,3.8,2.65,-1.15,0.98,0.91,0.9450000000000001,3.8,2.65,-1.15
fun,mario,4bMZDbcE,,Human,2.1,1.95,-0.15000000000000013,0.889,0.921,0.905,2.1,1.95,-0.15000000000000013
fun,mario,8cgqvaZu,,AI,2.8,3.0,0.20000000000000018,1.077,0.632,0.8545,2.8,3.0,0.20000000000000018
fun,mario,9Y6J8Rb8,,AI,1.5,2.3,0.7999999999999998,0.671,0.954,0.8125,1.5,2.3,0.7999999999999998
fun,mario,Jvmo5e7c,,Human,3.35,2.95,-0.3999999999999999,0.792,0.74,0.766,3.35,2.95,-0.3999999999999999
fun,mario,KKZ1dszi,,AI,2.15,2.45,0.30000000000000027,1.195,0.865,1.03,2.15,2.45,0.30000000000000027
fun,mario,RtKfCoTJ,,Human,1.75,1.25,-0.5,0.942,0.536,0.739,1.75,1.25,-0.5
fun,mario,S7F69Idf,,AI,2.65,2.45,-0.19999999999999973,0.654,0.669,0.6615,2.65,2.45,-0.19999999999999973
fun,mario,U3v9pEvF,,AI,2.7,2.35,-0.3500000000000001,1.1,1.062,1.081,2.7,2.35,-0.3500000000000001
fun,mario,V5XEzcZd,,Human,2.1,2.8,0.6999999999999997,0.831,0.678,0.7545,2.1,2.8,0.6999999999999997
fun,mario,XYTl4EzV,,Human,1.05,1.0,-0.050000000000000044,0.218,0.0,0.109,1.05,1.0,-0.050000000000000044
fun,mario,Xd8WtCNl,,AI,3.05,3.1,0.050000000000000266,0.921,0.7,0.8105,3.05,3.1,0.050000000000000266
fun,mario,br59gvRp,,AI,1.3,1.15,-0.15000000000000013,0.458,0.357,0.4075,1.3,1.15,-0.15000000000000013
fun,mario,dwIZVZn4,,AI,1.9,1.9,0.0,1.044,0.7,0.872,1.9,1.9,0.0
fun,mario,fc3fEIzT,,Human,1.75,1.55,-0.19999999999999996,0.766,0.669,0.7175,1.75,1.55,-0.19999999999999996
fun,mario,gZGPAuuB,,Human,3.1,2.85,-0.25,0.768,0.654,0.7110000000000001,3.1,2.85,-0.25
fun,mario,gngXYJwH,,AI,3.6,3.3,-0.30000000000000027,0.735,0.843,0.7889999999999999,3.6,3.3,-0.30000000000000027
fun,mario,ktod92pA,,Human,1.75,1.55,-0.19999999999999996,0.942,0.589,0.7655,1.75,1.55,-0.19999999999999996
fun,mario,lY6ELCJ9,,Human,2.8,3.05,0.25,0.98,0.589,0.7845,2.8,3.05,0.25
fun,mario,lgoBPkQB,,AI,2.9,2.1,-0.7999999999999998,0.831,0.624,0.7275,2.9,2.1,-0.7999999999999998
fun,mario,mmMjssLU,,AI,2.4,1.85,-0.5499999999999998,0.97,0.792,0.881,2.4,1.85,-0.5499999999999998
fun,mario,oGL3xUR2,,Human,1.7,1.2,-0.5,0.781,0.4,0.5905,1.7,1.2,-0.5
fun,mario,pY9KB33X,,Human,2.3,2.35,0.050000000000000266,1.005,0.726,0.8654999999999999,2.3,2.35,0.050000000000000266
fun,mario,tMYRotFs,,Human,1.95,1.35,-0.5999999999999999,0.921,0.572,0.7464999999999999,1.95,1.35,-0.5999999999999999
fun,mario,ueNqeTXa,,AI,1.45,1.55,0.10000000000000009,0.805,0.74,0.7725,1.45,1.55,0.10000000000000009
fun,mario,vHybWiYq,,AI,2.0,1.3,-0.7,1.183,0.64,0.9115,2.0,1.3,-0.7
fun,mario,x3V9NLQt,,Human,2.9,2.85,-0.04999999999999982,0.539,0.572,0.5555,2.9,2.85,-0.04999999999999982
fun,mario,xYnV8Xi7,,AI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
fun,mario,yAXhWaGh,,Human,1.05,1.05,0.0,0.218,0.218,0.218,1.05,1.05,0.0
fun,sokoban,2v2qgbvC,,Human,1.7,1.55,-0.1499999999999999,0.64,0.589,0.6145,1.7,1.55,-0.1499999999999999
fun,sokoban,3xtQxBWH,,Human,3.65,3.2,-0.44999999999999973,0.477,0.678,0.5775,3.65,3.2,-0.44999999999999973
fun,sokoban,5Au4nrI2,,Human,3.2,2.9,-0.30000000000000027,0.812,0.539,0.6755,3.2,2.9,-0.30000000000000027
fun,sokoban,5iXJGqnK,,AI,3.5,3.15,-0.3500000000000001,0.671,0.726,0.6985,3.5,3.15,-0.3500000000000001
fun,sokoban,73sJaNBn,,Human,2.95,2.35,-0.6000000000000001,0.74,0.726,0.733,2.95,2.35,-0.6000000000000001
fun,sokoban,79DSy6TF,,AI,1.35,1.8,0.44999999999999996,0.654,0.812,0.7330000000000001,1.35,1.8,0.44999999999999996
fun,sokoban,7V2mu5KA,,Human,3.65,2.4,-1.25,0.572,0.917,0.7444999999999999,3.65,2.4,-1.25
fun,sokoban,8Ua6YU1D,,Human,2.0,1.55,-0.44999999999999996,1.095,0.589,0.842,2.0,1.55,-0.44999999999999996
fun,sokoban,H77pn4iQ,,AI,3.85,3.45,-0.3999999999999999,0.357,0.589,0.473,3.85,3.45,-0.3999999999999999
fun,sokoban,HjLVlKx4,,Human,2.9,2.2,-0.6999999999999997,0.768,0.6,0.6839999999999999,2.9,2.2,-0.6999999999999997
fun,sokoban,Iz5BqRyu,,AI,3.45,2.9,-0.5500000000000003,0.589,0.768,0.6785,3.45,2.9,-0.5500000000000003
fun,sokoban,LUiVjpMm,,AI,1.85,1.75,-0.10000000000000009,0.963,0.829,0.8959999999999999,1.85,1.75,-0.10000000000000009
fun,sokoban,QUT4qGl2,,Human,3.6,3.25,-0.3500000000000001,0.49,0.622,0.556,3.6,3.25,-0.3500000000000001
fun,sokoban,QV6Qfb7T,,AI,3.7,3.1,-0.6000000000000001,0.64,0.436,0.538,3.7,3.1,-0.6000000000000001
fun,sokoban,ROciIZDL,,Human,3.65,3.05,-0.6000000000000001,0.654,0.865,0.7595000000000001,3.65,3.05,-0.6000000000000001
fun,sokoban,TIXMBKaj,,Human,3.3,3.0,-0.2999999999999998,0.458,0.707,0.5825,3.3,3.0,-0.2999999999999998
fun,sokoban,UTSKBMio,,AI,3.4,2.55,-0.8500000000000001,0.583,0.497,0.54,3.4,2.55,-0.8500000000000001
fun,sokoban,UeeTjy5b,,AI,1.85,1.5,-0.3500000000000001,0.853,0.866,0.8594999999999999,1.85,1.5,-0.3500000000000001
fun,sokoban,Z0SxyjXq,,Human,2.1,2.6,0.5,1.044,1.114,1.0790000000000002,2.1,2.6,0.5
fun,sokoban,aE7sjnta,,AI,2.5,1.25,-1.25,1.072,0.622,0.847,2.5,1.25,-1.25
fun,sokoban,bhRr4CCv,,Human,3.35,3.35,0.0,0.726,0.572,0.649,3.35,3.35,0.0
fun,sokoban,cHhvQJlr,,AI,2.65,2.35,-0.2999999999999998,0.726,0.91,0.8180000000000001,2.65,2.35,-0.2999999999999998
fun,sokoban,cTxMstwv,,AI,3.3,2.8,-0.5,0.781,0.748,0.7645,3.3,2.8,-0.5
fun,sokoban,extLxWet,,AI,2.6,2.3,-0.30000000000000027,0.8,0.714,0.757,2.6,2.3,-0.30000000000000027
