game,map_id,true_creator,experiment1_belief,fun,challenging,frustrating,surprising,design
mario,x3V9NLQt,Human,Human,3.5,1.85,1.0,1.3,2.8
mario,fc3fEIzT,Human,AI,2.8,1.45,1.6,1.6,2.2
mario,RtKfCoTJ,Human,AI,2.05,1.65,1.95,1.3,1.75
mario,Jvmo5e7c,Human,Human,3.7,2.75,1.3,2.15,3.6
mario,V5XEzcZd,Human,AI,2.8,2.45,2.2,2.7,1.95
mario,XYTl4EzV,Human,AI,1.0,1.05,3.95,2.5,1.0
mario,pY9KB33X,Human,AI,1.8,3.15,3.05,2.15,1.4
mario,lY6ELCJ9,Human,AI,2.0,2.75,2.85,3.9,1.45
mario,ktod92pA,Human,AI,2.0,3.9,4.6,2.7,1.65
mario,gZGPAuuB,Human,Human,1.9,1.45,1.3,1.5,1.55
mario,1AC82kGG,Human,Human,3.75,3.65,1.65,2.75,3.5
mario,oGL3xUR2,Human,AI,1.6,1.0,1.25,2.75,1.35
mario,tMYRotFs,Human,AI,1.6,3.0,3.75,2.2,1.4
mario,yAXhWaGh,Human,AI,1.05,2.55,5.0,3.35,1.0
mario,4bMZDbcE,Human,AI,2.05,3.45,3.35,2.1,1.65
mario,lgoBPkQB,AI,Human,3.4,1.75,1.0,3.0,3.25
mario,xYnV8Xi7,AI,AI,1.0,3.25,5.0,2.2,1.05
mario,U3v9pEvF,AI,AI,2.75,2.35,2.0,2.95,2.4
mario,S7F69Idf,AI,AI,2.0,2.0,2.2,2.25,1.7
mario,mmMjssLU,AI,AI,1.6,1.6,3.25,3.1,1.1
mario,Xd8WtCNl,AI,AI,3.55,3.35,1.75,2.5,2.8
mario,9Y6J8Rb8,AI,Human,2.0,3.5,3.6,1.7,1.6
mario,gngXYJwH,AI,Human,3.6,2.25,1.2,3.45,2.8
mario,KKZ1dszi,AI,Human,3.3,3.95,2.35,2.4,2.5
mario,vHybWiYq,AI,AI,1.8,4.0,4.35,3.4,1.55
mario,4PFJlLdR,AI,Human,3.95,2.85,1.65,2.9,3.7
mario,dwIZVZn4,AI,AI,2.6,3.0,2.7,1.7,2.35
mario,ueNqeTXa,AI,AI,2.4,3.45,3.35,2.25,2.1
mario,br59gvRp,AI,AI,1.9,2.65,3.0,1.9,1.5
mario,8cgqvaZu,AI,Human,3.1,3.6,2.5,1.65,2.6
sokoban,8Ua6YU1D,Human,Human,2.45,1.5,1.4,1.75,2.35
sokoban,t7mUz3Qe,Human,Human,2.2,1.1,1.05,1.0,1.95
sokoban,7V2mu5KA,Human,Human,3.65,2.2,1.35,1.3,3.5
sokoban,HjLVlKx4,Human,Human,3.5,2.55,1.6,1.2,3.35
sokoban,5Au4nrI2,Human,Human,3.1,2.5,1.85,1.15,3.0
sokoban,3xtQxBWH,Human,Human,3.75,2.6,1.75,1.45,3.75
sokoban,QUT4qGl2,Human,Human,3.65,3.25,2.05,1.6,3.75
sokoban,bhRr4CCv,Human,Human,3.5,3.15,2.1,1.25,3.45
sokoban,iJNJxWfZ,Human,Human,3.45,2.45,1.8,1.35,3.5
sokoban,TIXMBKaj,Human,Human,3.6,2.95,1.8,1.45,3.55
sokoban,Z0SxyjXq,Human,Human,2.9,2.5,2.1,1.55,2.8
sokoban,ROciIZDL,Human,AI,3.65,2.6,1.5,1.25,3.45
sokoban,2v2qgbvC,Human,AI,1.65,1.05,1.1,1.0,1.45
sokoban,73sJaNBn,Human,Human,3.1,2.1,1.1,1.3,2.9
sokoban,f8sbFI0a,Human,Human,2.75,1.65,1.0,1.05,2.6
sokoban,extLxWet,AI,AI,2.95,1.95,1.2,1.1,2.65
sokoban,UTSKBMio,AI,Human,3.7,2.3,1.3,1.4,3.45
sokoban,LUiVjpMm,AI,AI,2.4,1.55,1.3,1.15,2.3
sokoban,cHhvQJlr,AI,Human,2.5,1.65,1.6,1.1,2.5
sokoban,cTxMstwv,AI,Human,3.05,1.8,1.05,1.0,2.5
sokoban,ij6onaGt,AI,AI,3.7,2.65,1.45,1.5,3.5
sokoban,5iXJGqnK,AI,Human,3.6,2.55,1.6,1.5,3.35
sokoban,H77pn4iQ,AI,Human,3.8,2.9,1.6,1.4,3.75
sokoban,Iz5BqRyu,AI,Human,3.7,3.1,2.1,1.75,3.7
sokoban,QV6Qfb7T,AI,Human,3.65,2.75,1.65,1.35,3.55
sokoban,UeeTjy5b,AI,AI,2.15,1.0,1.0,1.0,1.7
sokoban,oHSLE5UO,AI,AI,1.8,1.05,1.0,1.0,1.632
sokoban,79DSy6TF,AI,AI,2.2,1.45,2.9,1.45,2.0
sokoban,aE7sjnta,AI,Human,2.6,1.35,2.05,1.3,2.05
sokoban,wSCVt298,AI,Human,2.4,1.1,1.75,1.05,1.8
