metric,title,grouping,ai_n,ai_mean,ai_sd,human_n,human_mean,human_sd,human_minus_ai,mann_whitney_u,p_value,q_holm
fun,fun,truth,30,2.771667,0.794017,30,2.683333,0.876940,-0.088333,476.000000,0.705930,1.000000
fun,fun,experiment1_belief,28,2.173214,0.727818,32,3.212500,0.575578,1.039286,128.500000,0.000002,0.000020
challenging,challenging,truth,30,2.423333,0.880413,30,2.341667,0.813367,-0.081667,477.500000,0.689638,1.000000
challenging,challenging,experiment1_belief,28,2.333929,0.934826,32,2.425000,0.762953,0.091071,421.000000,0.694449,1.000000
frustrating,frustrating,truth,30,2.115000,1.018971,30,2.078333,1.080524,-0.036667,464.500000,0.835867,1.000000
frustrating,frustrating,experiment1_belief,28,2.592857,1.247198,32,1.662500,0.540758,-0.930357,634.500000,0.005803,0.046423
surprising,surprising,truth,30,1.880000,0.769751,30,1.820000,0.745631,-0.060000,478.000000,0.684061,1.000000
surprising,surprising,experiment1_belief,28,2.105357,0.813581,32,1.626562,0.623852,-0.478795,593.500000,0.031523,0.220663
design,design,truth,30,2.447733,0.806150,30,2.453333,0.939087,0.005600,457.000000,0.923395,1.000000
design,design,experiment1_belief,28,1.858286,0.661455,32,2.968750,0.676656,1.110464,112.500000,0.000001,0.000007
