forced_condition,metric,truth_ai_n,truth_ai_mean,truth_ai_normalized_mean,truth_ai_std,truth_human_n,truth_human_mean,truth_human_normalized_mean,truth_human_std,human_minus_ai,normalized_human_minus_ai,truth_mann_whitney_u,truth_mann_whitney_p,truth_mann_whitney_q_holm,truth_significance,test
AI,fun,30,2.260000,-0.370000,0.702385,30,2.335000,-0.332500,0.764757,0.075000,0.037500,423.500000,0.700492,1.000000,n.s.,"Mann-Whitney U, two-sided"
AI,challenging,30,1.875000,-0.562500,0.597661,30,1.718333,-0.640833,0.533124,-0.156667,-0.078333,384.500000,0.336128,1.000000,n.s.,"Mann-Whitney U, two-sided"
AI,frustrating,30,1.771667,-0.614167,0.944100,30,1.776667,-0.611667,1.053462,0.005000,0.002500,424.000000,0.705095,1.000000,n.s.,"Mann-Whitney U, two-sided"
AI,surprising,30,1.455000,-0.772500,0.446316,30,1.381667,-0.809167,0.416778,-0.073333,-0.036667,403.500000,0.495160,1.000000,n.s.,"Mann-Whitney U, two-sided"
AI,design,30,1.868333,-0.565833,0.606073,30,1.961667,-0.519167,0.694521,0.093333,0.046667,413.000000,0.589213,1.000000,n.s.,"Mann-Whitney U, two-sided"
Human,fun,30,2.535000,-0.232500,0.860147,30,2.610000,-0.195000,0.826960,0.075000,0.037500,425.000000,0.717019,1.000000,n.s.,"Mann-Whitney U, two-sided"
Human,challenging,30,2.093333,-0.453333,0.707074,30,2.041667,-0.479167,0.696554,-0.051667,-0.025833,435.000000,0.830067,1.000000,n.s.,"Mann-Whitney U, two-sided"
Human,frustrating,30,2.055000,-0.472500,0.986491,30,1.860000,-0.570000,0.927306,-0.195000,-0.097500,400.000000,0.463819,1.000000,n.s.,"Mann-Whitney U, two-sided"
Human,surprising,30,1.651667,-0.674167,0.476605,30,1.466667,-0.766667,0.436943,-0.185000,-0.092500,335.500000,0.091546,0.457728,n.s.,"Mann-Whitney U, two-sided"
Human,design,30,2.300000,-0.350000,0.847206,30,2.346667,-0.326667,0.856309,0.046667,0.023333,439.500000,0.882401,1.000000,n.s.,"Mann-Whitney U, two-sided"
