scope,grouping,group,n,mean,std,min,max
combined,overall,all,60,2.695833,0.189176,2.250000,3.000000
combined,correctness,correct,32,2.660938,0.195405,2.250000,3.000000
combined,correctness,incorrect,28,2.735714,0.176833,2.400000,3.000000
combined,true_creator,AI,30,2.683333,0.171873,2.400000,3.000000
combined,true_creator,Human,30,2.708333,0.207233,2.250000,3.000000
combined,believed_creator,AI,28,2.757143,0.173052,2.400000,3.000000
combined,believed_creator,Human,32,2.642187,0.188846,2.250000,3.000000
combined,confusion_category,TP,15,2.703333,0.177750,2.400000,3.000000
combined,confusion_category,TN,17,2.623529,0.207754,2.250000,3.000000
combined,confusion_category,FP,13,2.819231,0.150746,2.500000,3.000000
combined,confusion_category,FN,15,2.663333,0.169523,2.400000,3.000000
mario,overall,all,30,2.820000,0.130384,2.600000,3.000000
mario,correctness,correct,13,2.784615,0.140512,2.600000,3.000000
mario,correctness,incorrect,17,2.847059,0.119204,2.650000,3.000000
mario,true_creator,AI,15,2.806667,0.129376,2.600000,3.000000
mario,true_creator,Human,15,2.833333,0.134519,2.600000,3.000000
mario,believed_creator,AI,20,2.835000,0.120416,2.600000,3.000000
mario,believed_creator,Human,10,2.790000,0.150555,2.600000,3.000000
mario,confusion_category,TP,9,2.800000,0.129904,2.600000,3.000000
mario,confusion_category,TN,4,2.750000,0.177951,2.600000,3.000000
mario,confusion_category,FP,11,2.863636,0.109752,2.650000,3.000000
mario,confusion_category,FN,6,2.816667,0.140238,2.650000,3.000000
sokoban,overall,all,30,2.571667,0.154632,2.250000,2.850000
sokoban,correctness,correct,19,2.576316,0.184367,2.250000,2.850000
sokoban,correctness,incorrect,11,2.563636,0.089696,2.400000,2.700000
sokoban,true_creator,AI,15,2.560000,0.108891,2.400000,2.800000
sokoban,true_creator,Human,15,2.583333,0.193342,2.250000,2.850000
sokoban,believed_creator,AI,8,2.562500,0.124642,2.400000,2.800000
sokoban,believed_creator,Human,22,2.575000,0.166726,2.250000,2.850000
sokoban,confusion_category,TP,6,2.558333,0.139344,2.400000,2.800000
sokoban,confusion_category,TN,13,2.584615,0.206544,2.250000,2.850000
sokoban,confusion_category,FP,2,2.575000,0.106066,2.500000,2.650000
sokoban,confusion_category,FN,9,2.561111,0.092796,2.400000,2.700000
