game,map_id,true_creator,llm_believed_creator,correct_creator_belief,confusion_category,confidence_level
mario,x3V9NLQt,Human,Human,True,TN,2.65
mario,fc3fEIzT,Human,AI,False,FP,2.85
mario,RtKfCoTJ,Human,AI,False,FP,2.65
mario,Jvmo5e7c,Human,Human,True,TN,2.75
mario,V5XEzcZd,Human,AI,False,FP,2.9
mario,XYTl4EzV,Human,AI,False,FP,3.0
mario,pY9KB33X,Human,AI,False,FP,2.75
mario,lY6ELCJ9,Human,AI,False,FP,2.9
mario,ktod92pA,Human,AI,False,FP,2.85
mario,gZGPAuuB,Human,Human,True,TN,3.0
mario,1AC82kGG,Human,Human,True,TN,2.6
mario,oGL3xUR2,Human,AI,False,FP,2.75
mario,tMYRotFs,Human,AI,False,FP,2.95
mario,yAXhWaGh,Human,AI,False,FP,3.0
mario,4bMZDbcE,Human,AI,False,FP,2.9
mario,lgoBPkQB,AI,Human,False,FN,2.85
mario,xYnV8Xi7,AI,AI,True,TP,3.0
mario,U3v9pEvF,AI,AI,True,TP,2.85
mario,S7F69Idf,AI,AI,True,TP,2.6
mario,mmMjssLU,AI,AI,True,TP,2.75
mario,Xd8WtCNl,AI,AI,True,TP,2.8
mario,9Y6J8Rb8,AI,Human,False,FN,2.65
mario,gngXYJwH,AI,Human,False,FN,3.0
mario,KKZ1dszi,AI,Human,False,FN,2.9
mario,vHybWiYq,AI,AI,True,TP,2.95
mario,4PFJlLdR,AI,Human,False,FN,2.85
mario,dwIZVZn4,AI,AI,True,TP,2.65
mario,ueNqeTXa,AI,AI,True,TP,2.85
mario,br59gvRp,AI,AI,True,TP,2.75
mario,8cgqvaZu,AI,Human,False,FN,2.65
sokoban,8Ua6YU1D,Human,Human,True,TN,2.6
sokoban,t7mUz3Qe,Human,Human,True,TN,2.75
sokoban,7V2mu5KA,Human,Human,True,TN,2.65
sokoban,HjLVlKx4,Human,Human,True,TN,2.65
sokoban,5Au4nrI2,Human,Human,True,TN,2.25
sokoban,3xtQxBWH,Human,Human,True,TN,2.75
sokoban,QUT4qGl2,Human,Human,True,TN,2.3
sokoban,bhRr4CCv,Human,Human,True,TN,2.65
sokoban,iJNJxWfZ,Human,Human,True,TN,2.8
sokoban,TIXMBKaj,Human,Human,True,TN,2.85
sokoban,Z0SxyjXq,Human,Human,True,TN,2.25
sokoban,ROciIZDL,Human,AI,False,FP,2.5
sokoban,2v2qgbvC,Human,AI,False,FP,2.65
sokoban,73sJaNBn,Human,Human,True,TN,2.65
sokoban,f8sbFI0a,Human,Human,True,TN,2.45
sokoban,extLxWet,AI,AI,True,TP,2.55
sokoban,UTSKBMio,AI,Human,False,FN,2.6
sokoban,LUiVjpMm,AI,AI,True,TP,2.8
sokoban,cHhvQJlr,AI,Human,False,FN,2.7
sokoban,cTxMstwv,AI,Human,False,FN,2.65
sokoban,ij6onaGt,AI,AI,True,TP,2.55
sokoban,5iXJGqnK,AI,Human,False,FN,2.45
sokoban,H77pn4iQ,AI,Human,False,FN,2.4
sokoban,Iz5BqRyu,AI,Human,False,FN,2.6
sokoban,QV6Qfb7T,AI,Human,False,FN,2.55
sokoban,UeeTjy5b,AI,AI,True,TP,2.6
sokoban,oHSLE5UO,AI,AI,True,TP,2.4
sokoban,79DSy6TF,AI,AI,True,TP,2.45
sokoban,aE7sjnta,AI,Human,False,FN,2.55
sokoban,wSCVt298,AI,Human,False,FN,2.55
