map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
1,x3V9NLQt,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\mario\x3V9NLQt.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\x3V9NLQt.mp4,1.000,1.000,20,20,,,,,3.500,0.671,1.850,0.477,1.000,0.000,1.300,0.458,2.800,0.678,
2,fc3fEIzT,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\mario\fc3fEIzT.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\fc3fEIzT.mp4,1.000,1.000,20,20,,,,,2.800,1.122,1.450,0.973,1.600,1.114,1.600,0.917,2.200,0.927,
3,RtKfCoTJ,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\mario\RtKfCoTJ.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\RtKfCoTJ.mp4,1.000,1.000,20,20,,,,,2.050,0.865,1.650,1.108,1.950,1.465,1.300,0.900,1.750,0.698,
4,Jvmo5e7c,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\mario\Jvmo5e7c.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\Jvmo5e7c.mp4,1.000,1.000,20,20,,,,,3.700,0.843,2.750,0.766,1.300,0.557,2.150,0.853,3.600,0.860,
5,V5XEzcZd,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\mario\V5XEzcZd.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\V5XEzcZd.mp4,1.000,1.000,20,20,,,,,2.800,1.122,2.450,1.117,2.200,1.568,2.700,1.584,1.950,0.973,
6,XYTl4EzV,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\mario\XYTl4EzV.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\XYTl4EzV.mp4,1.000,1.000,20,20,,,,,1.000,0.000,1.050,0.218,3.950,1.396,2.500,1.204,1.000,0.000,
7,pY9KB33X,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\mario\pY9KB33X.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\pY9KB33X.mp4,1.000,1.000,20,20,,,,,1.800,1.122,3.150,1.492,3.050,1.802,2.150,1.062,1.400,0.860,
8,lY6ELCJ9,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\mario\lY6ELCJ9.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\lY6ELCJ9.mp4,1.000,1.000,20,20,,,,,2.000,1.049,2.750,0.887,2.850,1.314,3.900,1.091,1.450,0.921,
9,ktod92pA,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\mario\ktod92pA.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\ktod92pA.mp4,1.000,1.000,20,20,,,,,2.000,1.049,3.900,0.943,4.600,0.917,2.700,1.229,1.650,1.062,
10,gZGPAuuB,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\mario\gZGPAuuB.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\gZGPAuuB.mp4,1.000,1.000,20,20,,,,,1.900,0.539,1.450,1.023,1.300,0.954,1.500,0.806,1.550,0.589,
