map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
1,8Ua6YU1D,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\8Ua6YU1D.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\8Ua6YU1D.mp4,1.000,1.000,20,20,,,,,2.450,1.117,1.500,0.806,1.400,1.068,1.750,1.220,2.350,1.236,
2,t7mUz3Qe,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\t7mUz3Qe.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\t7mUz3Qe.mp4,1.000,1.000,20,20,,,,,2.200,0.678,1.100,0.300,1.050,0.218,1.000,0.000,1.950,0.497,
3,7V2mu5KA,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\7V2mu5KA.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\7V2mu5KA.mp4,1.000,1.000,20,20,,,,,3.650,0.654,2.200,0.678,1.350,0.477,1.300,0.557,3.500,0.866,
4,HjLVlKx4,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\HjLVlKx4.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\HjLVlKx4.mp4,1.000,1.000,20,20,,,,,3.500,0.500,2.550,0.589,1.600,0.735,1.200,0.400,3.350,0.726,
5,5Au4nrI2,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\5Au4nrI2.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\5Au4nrI2.mp4,1.000,1.000,20,20,,,,,3.100,0.768,2.500,0.922,1.850,1.108,1.150,0.357,3.000,0.775,
6,3xtQxBWH,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\3xtQxBWH.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\3xtQxBWH.mp4,1.000,1.000,20,20,,,,,3.750,0.622,2.600,0.735,1.750,0.536,1.450,0.497,3.750,0.766,
7,QUT4qGl2,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\QUT4qGl2.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\QUT4qGl2.mp4,1.000,1.000,20,20,,,,,3.650,0.477,3.250,0.698,2.050,0.921,1.600,0.583,3.750,0.622,
8,bhRr4CCv,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\bhRr4CCv.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\bhRr4CCv.mp4,1.000,1.000,20,20,,,,,3.500,0.500,3.150,0.654,2.100,0.889,1.250,0.433,3.450,0.669,
9,iJNJxWfZ,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\iJNJxWfZ.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\iJNJxWfZ.mp4,1.000,1.000,20,20,,,,,3.450,0.497,2.450,0.497,1.800,0.748,1.350,0.477,3.500,0.500,
10,TIXMBKaj,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\TIXMBKaj.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\TIXMBKaj.mp4,1.000,1.000,20,20,,,,,3.600,0.663,2.950,0.805,1.800,1.030,1.450,0.497,3.550,0.865,
11,Z0SxyjXq,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\Z0SxyjXq.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\Z0SxyjXq.mp4,1.000,1.000,20,20,,,,,2.900,1.136,2.500,1.072,2.100,1.411,1.550,0.805,2.800,1.122,
12,ROciIZDL,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\ROciIZDL.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\ROciIZDL.mp4,1.000,1.000,20,20,,,,,3.650,0.572,2.600,1.020,1.500,0.500,1.250,0.433,3.450,1.023,
13,2v2qgbvC,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\2v2qgbvC.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\2v2qgbvC.mp4,1.000,1.000,20,20,,,,,1.650,0.792,1.050,0.218,1.100,0.436,1.000,0.000,1.450,0.589,
14,73sJaNBn,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\73sJaNBn.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\73sJaNBn.mp4,1.000,1.000,20,20,,,,,3.100,0.889,2.100,0.700,1.100,0.300,1.300,0.557,2.900,0.889,
15,f8sbFI0a,ok,no_creator,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\f8sbFI0a.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\f8sbFI0a.mp4,1.000,1.000,20,20,,,,,2.750,0.622,1.650,0.572,1.000,0.000,1.050,0.218,2.600,0.663,
16,extLxWet,ok,no_creator,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\extLxWet.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\extLxWet.mp4,1.000,1.000,20,20,,,,,2.950,0.669,1.950,0.921,1.200,0.400,1.100,0.300,2.650,0.853,
17,UTSKBMio,ok,no_creator,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\UTSKBMio.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\UTSKBMio.mp4,1.000,1.000,20,20,,,,,3.700,0.557,2.300,0.781,1.300,0.458,1.400,0.490,3.450,0.865,
18,LUiVjpMm,ok,no_creator,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\LUiVjpMm.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\LUiVjpMm.mp4,1.000,1.000,20,20,,,,,2.400,0.970,1.550,0.740,1.300,0.714,1.150,0.357,2.300,1.054,
19,cHhvQJlr,ok,no_creator,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\cHhvQJlr.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\cHhvQJlr.mp4,1.000,1.000,20,20,,,,,2.500,0.806,1.650,0.726,1.600,1.200,1.100,0.300,2.500,0.806,
20,cTxMstwv,ok,no_creator,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\cTxMstwv.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\cTxMstwv.mp4,1.000,1.000,20,20,,,,,3.050,0.497,1.800,0.400,1.050,0.218,1.000,0.000,2.500,0.671,
21,ij6onaGt,ok,no_creator,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\02_no_creator\sokoban\ij6onaGt.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\ij6onaGt.mp4,1.000,1.000,20,20,,,,,3.700,0.458,2.650,0.726,1.450,0.497,1.500,0.500,3.500,0.742,
