map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
1,x3V9NLQt,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\x3V9NLQt.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\x3V9NLQt.mp4,1.000,1.000,20,20,,,,,2.850,0.572,1.200,0.400,1.000,0.000,1.050,0.218,2.000,0.316,
2,fc3fEIzT,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\fc3fEIzT.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\fc3fEIzT.mp4,1.000,1.000,20,20,,,,,1.550,0.669,1.550,1.117,2.600,1.772,1.750,1.090,1.200,0.400,
3,RtKfCoTJ,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\RtKfCoTJ.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\RtKfCoTJ.mp4,1.000,1.000,20,20,,,,,1.250,0.536,1.400,0.917,2.400,1.655,1.250,0.536,1.150,0.357,
4,Jvmo5e7c,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\Jvmo5e7c.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\Jvmo5e7c.mp4,1.000,1.000,20,20,,,,,2.950,0.740,1.800,0.872,1.450,1.071,1.600,0.583,2.350,0.963,
5,V5XEzcZd,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\V5XEzcZd.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\V5XEzcZd.mp4,1.000,1.000,20,20,,,,,2.800,0.678,1.400,0.583,1.000,0.000,1.500,0.806,2.300,0.714,
6,XYTl4EzV,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\XYTl4EzV.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\XYTl4EzV.mp4,1.000,1.000,20,20,,,,,1.000,0.000,1.100,0.300,3.150,1.797,1.850,1.014,1.000,0.000,
7,pY9KB33X,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\pY9KB33X.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\pY9KB33X.mp4,1.000,1.000,20,20,,,,,2.350,0.726,1.550,0.589,1.350,1.062,1.300,0.458,1.850,0.654,
8,lY6ELCJ9,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\lY6ELCJ9.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\lY6ELCJ9.mp4,1.000,1.000,20,20,,,,,3.050,0.589,2.150,0.726,1.000,0.000,2.100,0.768,2.250,0.829,
9,ktod92pA,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\ktod92pA.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\ktod92pA.mp4,1.000,1.000,20,20,,,,,1.550,0.589,2.650,0.910,4.800,0.400,2.650,1.314,1.050,0.218,
10,gZGPAuuB,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\gZGPAuuB.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\gZGPAuuB.mp4,1.000,1.000,20,20,,,,,2.850,0.654,1.300,0.458,1.000,0.000,1.100,0.300,2.250,0.536,
11,1AC82kGG,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\1AC82kGG.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\1AC82kGG.mp4,1.000,1.000,20,20,,,,,2.950,0.740,2.550,0.740,1.400,0.917,1.850,0.726,2.450,1.023,
12,oGL3xUR2,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\oGL3xUR2.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\oGL3xUR2.mp4,1.000,1.000,20,20,,,,,1.200,0.400,1.000,0.000,1.000,0.000,1.200,0.510,1.150,0.357,
