map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
1,x3V9NLQt,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\x3V9NLQt.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\x3V9NLQt.mp4,1.000,1.000,20,20,,,,,2.900,0.539,1.450,0.497,1.150,0.654,1.000,0.000,2.150,0.572,
2,fc3fEIzT,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\fc3fEIzT.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\fc3fEIzT.mp4,1.000,1.000,20,20,,,,,1.750,0.766,1.200,0.510,2.050,1.627,1.700,1.100,1.400,0.490,
3,RtKfCoTJ,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\RtKfCoTJ.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\RtKfCoTJ.mp4,1.000,1.000,20,20,,,,,1.750,0.942,1.600,1.020,1.850,1.388,1.200,0.400,1.350,0.572,
4,Jvmo5e7c,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\Jvmo5e7c.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\Jvmo5e7c.mp4,1.000,1.000,20,20,,,,,3.350,0.792,2.650,0.726,1.650,1.108,1.550,0.589,2.950,0.973,
5,V5XEzcZd,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\V5XEzcZd.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\V5XEzcZd.mp4,1.000,1.000,20,20,,,,,2.100,0.831,1.350,0.572,1.000,0.000,1.050,0.218,1.750,0.622,
6,XYTl4EzV,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\XYTl4EzV.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\XYTl4EzV.mp4,1.000,1.000,20,20,,,,,1.050,0.218,1.100,0.300,3.250,1.609,1.650,0.963,1.000,0.000,
7,pY9KB33X,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\pY9KB33X.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\pY9KB33X.mp4,1.000,1.000,20,20,,,,,2.300,1.005,2.100,1.044,2.300,1.552,1.550,0.740,1.850,0.792,
8,lY6ELCJ9,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\lY6ELCJ9.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\lY6ELCJ9.mp4,1.000,1.000,20,20,,,,,2.800,0.980,2.250,0.942,1.250,0.698,1.700,0.714,2.150,0.792,
9,ktod92pA,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\ktod92pA.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\ktod92pA.mp4,1.000,1.000,20,20,,,,,1.750,0.942,3.150,1.152,4.400,1.114,2.850,1.236,1.350,0.654,
10,gZGPAuuB,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\gZGPAuuB.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\gZGPAuuB.mp4,1.000,1.000,20,20,,,,,3.100,0.768,1.250,0.433,1.000,0.000,1.050,0.218,2.550,0.740,
11,1AC82kGG,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\1AC82kGG.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\1AC82kGG.mp4,1.000,1.000,20,20,,,,,3.650,0.572,3.100,0.889,1.250,0.433,2.000,0.894,3.350,0.853,
12,oGL3xUR2,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\oGL3xUR2.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\oGL3xUR2.mp4,1.000,1.000,20,20,,,,,1.700,0.781,1.050,0.218,1.150,0.477,2.150,1.314,1.300,0.557,
13,tMYRotFs,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\tMYRotFs.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\tMYRotFs.mp4,1.000,1.000,20,20,,,,,1.950,0.921,1.900,1.136,2.100,1.261,1.350,0.792,1.600,0.735,
14,yAXhWaGh,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\yAXhWaGh.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\yAXhWaGh.mp4,1.000,1.000,20,20,,,,,1.050,0.218,2.250,1.479,4.950,0.218,2.400,1.068,1.000,0.000,
15,4bMZDbcE,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\4bMZDbcE.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\4bMZDbcE.mp4,1.000,1.000,20,20,,,,,2.100,0.889,2.000,1.265,1.600,1.319,1.100,0.300,1.700,0.640,
16,lgoBPkQB,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\lgoBPkQB.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\lgoBPkQB.mp4,1.000,1.000,20,20,,,,,2.900,0.831,1.150,0.357,1.000,0.000,1.800,0.872,2.350,0.792,
17,xYnV8Xi7,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\xYnV8Xi7.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\xYnV8Xi7.mp4,1.000,1.000,20,20,,,,,1.000,0.000,2.200,1.568,4.950,0.218,1.750,0.829,1.000,0.000,
18,U3v9pEvF,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\U3v9pEvF.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\U3v9pEvF.mp4,1.000,1.000,20,20,,,,,2.700,1.100,2.750,1.178,2.250,1.445,2.200,0.980,2.250,1.220,
19,S7F69Idf,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\S7F69Idf.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\S7F69Idf.mp4,1.000,1.000,20,20,,,,,2.650,0.654,1.450,0.669,1.000,0.000,1.200,0.510,2.150,0.572,
20,mmMjssLU,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\mmMjssLU.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\mmMjssLU.mp4,1.000,1.000,20,20,,,,,2.400,0.970,1.400,0.490,1.400,0.917,1.900,1.136,1.850,0.726,
21,Xd8WtCNl,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\Xd8WtCNl.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\Xd8WtCNl.mp4,1.000,1.000,20,20,,,,,3.050,0.921,2.550,1.071,1.550,0.921,2.000,0.548,2.600,1.020,
22,9Y6J8Rb8,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\9Y6J8Rb8.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\9Y6J8Rb8.mp4,1.000,1.000,20,20,,,,,1.500,0.671,1.950,0.805,3.300,1.584,1.400,0.800,1.150,0.357,
23,gngXYJwH,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\gngXYJwH.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\gngXYJwH.mp4,1.000,1.000,20,20,,,,,3.600,0.735,2.150,0.792,1.000,0.000,2.800,0.927,3.200,0.927,
24,KKZ1dszi,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\KKZ1dszi.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\KKZ1dszi.mp4,1.000,1.000,20,20,,,,,2.150,1.195,2.500,0.922,2.200,1.470,1.700,0.900,1.800,0.980,
25,vHybWiYq,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\vHybWiYq.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\vHybWiYq.mp4,1.000,1.000,20,20,,,,,2.000,1.183,2.400,1.393,2.750,1.867,2.450,1.359,1.800,0.980,
26,4PFJlLdR,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\4PFJlLdR.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\4PFJlLdR.mp4,1.000,1.000,20,20,,,,,3.800,0.980,2.700,1.054,1.500,1.072,2.250,0.994,3.400,1.200,
27,dwIZVZn4,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\dwIZVZn4.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\dwIZVZn4.mp4,1.000,1.000,20,20,,,,,1.900,1.044,2.600,1.114,3.100,1.841,2.200,1.208,1.700,0.781,
28,ueNqeTXa,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\ueNqeTXa.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\ueNqeTXa.mp4,1.000,1.000,20,20,,,,,1.450,0.805,3.100,1.179,3.600,1.497,2.200,1.077,1.250,0.698,
29,br59gvRp,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\br59gvRp.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\br59gvRp.mp4,1.000,1.000,20,20,,,,,1.300,0.458,2.750,1.337,3.900,1.411,2.300,1.418,1.100,0.300,
30,8cgqvaZu,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\human\8cgqvaZu.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\8cgqvaZu.mp4,1.000,1.000,20,20,,,,,2.800,1.077,2.850,1.314,2.250,1.445,1.750,0.766,2.450,1.117,
