map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
1,8Ua6YU1D,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\8Ua6YU1D.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\8Ua6YU1D.mp4,1.000,1.000,20,20,,,,,1.550,0.589,1.100,0.300,2.150,1.768,1.050,0.218,1.350,0.477,
2,t7mUz3Qe,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\t7mUz3Qe.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\t7mUz3Qe.mp4,1.000,1.000,20,20,,,,,1.800,0.678,1.000,0.000,1.000,0.000,1.000,0.000,1.300,0.458,
3,7V2mu5KA,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\7V2mu5KA.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\7V2mu5KA.mp4,1.000,1.000,20,20,,,,,2.400,0.917,1.450,0.740,1.000,0.000,1.050,0.218,2.100,0.831,
4,HjLVlKx4,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\HjLVlKx4.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\HjLVlKx4.mp4,1.000,1.000,20,20,,,,,2.200,0.600,1.350,0.477,1.100,0.436,1.000,0.000,1.750,0.622,
5,5Au4nrI2,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\5Au4nrI2.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\5Au4nrI2.mp4,1.000,1.000,20,20,,,,,2.900,0.539,1.800,0.510,1.050,0.218,1.050,0.218,2.350,0.726,
6,3xtQxBWH,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\3xtQxBWH.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\3xtQxBWH.mp4,1.000,1.000,20,20,,,,,3.200,0.678,2.300,0.640,1.700,1.054,1.150,0.357,2.850,0.792,
7,QUT4qGl2,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\QUT4qGl2.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\QUT4qGl2.mp4,1.000,1.000,20,20,,,,,3.250,0.622,2.400,0.583,1.550,0.805,1.300,0.557,2.950,0.740,
8,bhRr4CCv,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\bhRr4CCv.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\bhRr4CCv.mp4,1.000,1.000,20,20,,,,,3.350,0.572,2.950,0.740,1.950,0.973,1.350,0.477,3.150,0.792,
9,iJNJxWfZ,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\iJNJxWfZ.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\iJNJxWfZ.mp4,1.000,1.000,20,20,,,,,3.300,0.640,1.950,0.589,1.300,0.714,1.250,0.536,2.950,0.865,
10,TIXMBKaj,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\TIXMBKaj.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\TIXMBKaj.mp4,1.000,1.000,20,20,,,,,3.000,0.707,2.250,0.698,1.850,1.152,1.150,0.357,2.700,0.714,
11,Z0SxyjXq,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\Z0SxyjXq.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\Z0SxyjXq.mp4,1.000,1.000,20,20,,,,,2.600,1.114,1.600,0.663,1.300,0.900,1.300,0.714,2.100,1.136,
12,ROciIZDL,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\ROciIZDL.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\ROciIZDL.mp4,1.000,1.000,20,20,,,,,3.050,0.865,2.350,0.792,1.500,1.072,1.300,0.458,2.900,0.889,
13,2v2qgbvC,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\2v2qgbvC.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\2v2qgbvC.mp4,1.000,1.000,20,20,,,,,1.550,0.589,1.050,0.218,1.150,0.654,1.000,0.000,1.200,0.400,
14,73sJaNBn,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\73sJaNBn.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\73sJaNBn.mp4,1.000,1.000,20,20,,,,,2.350,0.726,1.600,0.735,1.450,0.973,1.050,0.218,2.000,0.632,
15,f8sbFI0a,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\f8sbFI0a.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\f8sbFI0a.mp4,1.000,1.000,20,20,,,,,2.850,0.654,2.000,0.775,1.350,0.726,1.300,0.557,2.650,0.654,
