map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
1,8Ua6YU1D,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\8Ua6YU1D.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\8Ua6YU1D.mp4,1.000,1.000,20,20,,,,,2.000,1.095,1.450,0.805,2.250,1.728,1.400,0.917,2.100,1.300,
2,t7mUz3Qe,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\t7mUz3Qe.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\t7mUz3Qe.mp4,1.000,1.000,20,20,,,,,2.100,0.624,1.050,0.218,1.000,0.000,1.000,0.000,1.800,0.510,
3,7V2mu5KA,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\7V2mu5KA.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\7V2mu5KA.mp4,1.000,1.000,20,20,,,,,3.650,0.572,2.350,0.654,1.300,0.458,1.450,0.497,3.350,0.853,
4,HjLVlKx4,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\HjLVlKx4.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\HjLVlKx4.mp4,1.000,1.000,20,20,,,,,2.900,0.768,2.000,0.837,1.350,0.726,1.150,0.357,2.550,0.865,
5,5Au4nrI2,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\5Au4nrI2.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\5Au4nrI2.mp4,1.000,1.000,20,20,,,,,3.200,0.812,1.950,0.740,1.400,0.735,1.100,0.300,2.800,0.927,
6,3xtQxBWH,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\3xtQxBWH.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\3xtQxBWH.mp4,1.000,1.000,20,20,,,,,3.650,0.477,3.100,0.624,2.050,0.740,1.750,0.698,3.750,0.698,
7,QUT4qGl2,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\QUT4qGl2.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\QUT4qGl2.mp4,1.000,1.000,20,20,,,,,3.600,0.490,2.850,0.477,1.750,0.536,1.500,0.500,3.600,0.583,
8,bhRr4CCv,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\bhRr4CCv.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\bhRr4CCv.mp4,1.000,1.000,20,20,,,,,3.350,0.726,3.200,0.748,2.350,1.152,1.600,0.583,3.450,1.071,
9,iJNJxWfZ,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\iJNJxWfZ.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\iJNJxWfZ.mp4,1.000,1.000,20,20,,,,,3.550,0.589,2.750,0.698,1.700,0.714,1.550,0.497,3.450,0.740,
10,TIXMBKaj,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\TIXMBKaj.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\TIXMBKaj.mp4,1.000,1.000,20,20,,,,,3.300,0.458,2.850,0.792,1.850,0.910,1.250,0.536,3.050,0.740,
11,Z0SxyjXq,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\Z0SxyjXq.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\Z0SxyjXq.mp4,1.000,1.000,20,20,,,,,2.100,1.044,1.550,0.865,2.300,1.706,1.250,0.433,2.100,0.995,
12,ROciIZDL,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\ROciIZDL.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\ROciIZDL.mp4,1.000,1.000,20,20,,,,,3.650,0.654,2.250,1.090,1.300,0.458,1.200,0.400,3.300,1.005,
13,2v2qgbvC,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\2v2qgbvC.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\2v2qgbvC.mp4,1.000,1.000,20,20,,,,,1.700,0.640,1.100,0.436,1.150,0.654,1.000,0.000,1.600,0.490,
14,73sJaNBn,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\73sJaNBn.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\73sJaNBn.mp4,1.000,1.000,20,20,,,,,2.950,0.740,2.000,0.894,1.250,0.433,1.350,0.910,2.850,0.963,
15,f8sbFI0a,ok,forced_creator,Human,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\f8sbFI0a.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\f8sbFI0a.mp4,1.000,1.000,20,20,,,,,3.300,0.781,2.400,0.800,1.850,0.853,1.150,0.357,3.200,0.927,
16,extLxWet,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\extLxWet.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\extLxWet.mp4,1.000,1.000,20,20,,,,,2.600,0.800,1.950,0.973,1.450,0.921,1.150,0.357,2.500,0.866,
17,UTSKBMio,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\UTSKBMio.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\UTSKBMio.mp4,1.000,1.000,20,20,,,,,3.400,0.583,2.350,0.726,1.500,0.500,1.500,0.592,3.200,0.812,
