game,map_id,true_creator,forced_condition,experiment1_belief,fun,challenging,frustrating,surprising,design
mario,x3V9NLQt,Human,AI,Human,2.85,1.2,1.0,1.05,2.0
mario,fc3fEIzT,Human,AI,AI,1.55,1.55,2.6,1.75,1.2
mario,RtKfCoTJ,Human,AI,AI,1.25,1.4,2.4,1.25,1.15
mario,Jvmo5e7c,Human,AI,Human,2.95,1.8,1.45,1.6,2.35
mario,V5XEzcZd,Human,AI,AI,2.8,1.4,1.0,1.5,2.3
mario,XYTl4EzV,Human,AI,AI,1.0,1.1,3.15,1.85,1.0
mario,pY9KB33X,Human,AI,AI,2.35,1.55,1.35,1.3,1.85
mario,lY6ELCJ9,Human,AI,AI,3.05,2.15,1.0,2.1,2.25
mario,ktod92pA,Human,AI,AI,1.55,2.65,4.8,2.65,1.05
mario,gZGPAuuB,Human,AI,Human,2.85,1.3,1.0,1.1,2.25
mario,1AC82kGG,Human,AI,Human,2.95,2.55,1.4,1.85,2.45
mario,oGL3xUR2,Human,AI,AI,1.2,1.0,1.0,1.2,1.15
mario,tMYRotFs,Human,AI,AI,1.35,1.85,3.35,1.6,1.05
mario,yAXhWaGh,Human,AI,AI,1.05,1.5,5.0,2.3,1.0
mario,4bMZDbcE,Human,AI,AI,1.95,1.4,1.4,1.05,1.5
mario,lgoBPkQB,AI,AI,Human,2.1,1.15,1.0,2.2,1.8
mario,xYnV8Xi7,AI,AI,AI,1.0,3.0,4.8,1.55,1.0
mario,U3v9pEvF,AI,AI,AI,2.35,1.95,1.2,1.95,1.95
mario,S7F69Idf,AI,AI,AI,2.45,1.4,1.0,1.35,1.8
mario,mmMjssLU,AI,AI,AI,1.85,1.3,1.35,1.4,1.6
mario,Xd8WtCNl,AI,AI,AI,3.1,2.65,1.3,1.95,2.4
mario,9Y6J8Rb8,AI,AI,Human,2.3,2.65,2.55,1.65,1.8
mario,gngXYJwH,AI,AI,Human,3.3,1.8,1.0,2.85,2.7
mario,KKZ1dszi,AI,AI,Human,2.45,2.25,1.45,1.3,1.75
mario,vHybWiYq,AI,AI,AI,1.3,2.4,3.7,1.85,1.1
mario,4PFJlLdR,AI,AI,Human,2.65,2.15,2.35,1.65,1.9
mario,dwIZVZn4,AI,AI,AI,1.9,1.8,2.05,1.6,1.45
mario,ueNqeTXa,AI,AI,AI,1.55,2.5,3.05,2.0,1.3
mario,br59gvRp,AI,AI,AI,1.15,2.25,3.85,2.05,1.0
mario,8cgqvaZu,AI,AI,Human,3.0,2.3,1.6,1.45,2.25
mario,x3V9NLQt,Human,Human,Human,2.9,1.45,1.15,1.0,2.15
mario,fc3fEIzT,Human,Human,AI,1.75,1.2,2.05,1.7,1.4
mario,RtKfCoTJ,Human,Human,AI,1.75,1.6,1.85,1.2,1.35
mario,Jvmo5e7c,Human,Human,Human,3.35,2.65,1.65,1.55,2.95
mario,V5XEzcZd,Human,Human,AI,2.1,1.35,1.0,1.05,1.75
mario,XYTl4EzV,Human,Human,AI,1.05,1.1,3.25,1.65,1.0
mario,pY9KB33X,Human,Human,AI,2.3,2.1,2.3,1.55,1.85
mario,lY6ELCJ9,Human,Human,AI,2.8,2.25,1.25,1.7,2.15
mario,ktod92pA,Human,Human,AI,1.75,3.15,4.4,2.85,1.35
mario,gZGPAuuB,Human,Human,Human,3.1,1.25,1.0,1.05,2.55
mario,1AC82kGG,Human,Human,Human,3.65,3.1,1.25,2.0,3.35
mario,oGL3xUR2,Human,Human,AI,1.7,1.05,1.15,2.15,1.3
mario,tMYRotFs,Human,Human,AI,1.95,1.9,2.1,1.35,1.6
mario,yAXhWaGh,Human,Human,AI,1.05,2.25,4.95,2.4,1.0
mario,4bMZDbcE,Human,Human,AI,2.1,2.0,1.6,1.1,1.7
mario,lgoBPkQB,AI,Human,Human,2.9,1.15,1.0,1.8,2.35
mario,xYnV8Xi7,AI,Human,AI,1.0,2.2,4.95,1.75,1.0
mario,U3v9pEvF,AI,Human,AI,2.7,2.75,2.25,2.2,2.25
mario,S7F69Idf,AI,Human,AI,2.65,1.45,1.0,1.2,2.15
mario,mmMjssLU,AI,Human,AI,2.4,1.4,1.4,1.9,1.85
mario,Xd8WtCNl,AI,Human,AI,3.05,2.55,1.55,2.0,2.6
mario,9Y6J8Rb8,AI,Human,Human,1.5,1.95,3.3,1.4,1.15
mario,gngXYJwH,AI,Human,Human,3.6,2.15,1.0,2.8,3.2
mario,KKZ1dszi,AI,Human,Human,2.15,2.5,2.2,1.7,1.8
mario,vHybWiYq,AI,Human,AI,2.0,2.4,2.75,2.45,1.8
mario,4PFJlLdR,AI,Human,Human,3.8,2.7,1.5,2.25,3.4
mario,dwIZVZn4,AI,Human,AI,1.9,2.6,3.1,2.2,1.7
mario,ueNqeTXa,AI,Human,AI,1.45,3.1,3.6,2.2,1.25
mario,br59gvRp,AI,Human,AI,1.3,2.75,3.9,2.3,1.1
mario,8cgqvaZu,AI,Human,Human,2.8,2.85,2.25,1.75,2.45
sokoban,8Ua6YU1D,Human,AI,Human,1.55,1.1,2.15,1.05,1.35
sokoban,t7mUz3Qe,Human,AI,Human,1.8,1.0,1.0,1.0,1.3
sokoban,7V2mu5KA,Human,AI,Human,2.4,1.45,1.0,1.05,2.1
sokoban,HjLVlKx4,Human,AI,Human,2.2,1.35,1.1,1.0,1.75
sokoban,5Au4nrI2,Human,AI,Human,2.9,1.8,1.05,1.05,2.35
sokoban,3xtQxBWH,Human,AI,Human,3.2,2.3,1.7,1.15,2.85
sokoban,QUT4qGl2,Human,AI,Human,3.25,2.4,1.55,1.3,2.95
sokoban,bhRr4CCv,Human,AI,Human,3.35,2.95,1.95,1.35,3.15
sokoban,iJNJxWfZ,Human,AI,Human,3.3,1.95,1.3,1.25,2.95
