forced_condition,metric,title,belief_ai_n,belief_ai_mean,belief_ai_sd,belief_human_n,belief_human_mean,belief_human_sd,belief_human_minus_ai,mann_whitney_u,p_value,q_holm
AI,fun,fun,28,1.873214,0.678026,32,2.668750,0.553253,0.795536,174.500000,0.000052,0.000362
AI,challenging,challenging,28,1.726786,0.578709,32,1.857813,0.558528,0.131027,381.500000,0.327670,0.760101
AI,frustrating,frustrating,28,2.117857,1.312985,32,1.473437,0.412894,-0.644420,514.000000,0.329923,0.760101
AI,surprising,surprising,28,1.539286,0.443963,32,1.312500,0.393700,-0.226786,593.000000,0.031751,0.190503
AI,design,design,28,1.544643,0.545069,32,2.239063,0.554997,0.694420,169.000000,0.000036,0.000291
Human,fun,fun,28,2.041071,0.689344,32,3.037500,0.665146,0.996429,138.000000,0.000004,0.000040
Human,challenging,challenging,28,1.889286,0.667965,32,2.223438,0.693168,0.334152,319.500000,0.057596,0.287978
Human,frustrating,frustrating,28,2.246429,1.200997,32,1.704687,0.579260,-0.541741,540.000000,0.174728,0.698911
Human,surprising,surprising,28,1.657143,0.527347,32,1.473437,0.386253,-0.183705,525.500000,0.253367,0.760101
Human,design,design,28,1.766071,0.604161,32,2.810938,0.717380,1.044866,124.000000,0.000002,0.000016
