comparison,metric,n,tau_b,p_value_two_sided,pair_order_agreement,concordant,discordant,ties_x_only,ties_y_only,ties_both
blind_vs_forced_ai,fun,60,0.5815796016328928,1.2304806087786003e-10,0.7641402714932126,1351,344,42,31,2
blind_vs_forced_ai,challenging,60,0.6734052476335508,8.49373036235884e-14,0.8106274731486716,1434,266,24,45,1
blind_vs_forced_ai,frustrating,60,0.4604097858473927,4.950354749102485e-07,0.687641723356009,1213,429,37,85,6
blind_vs_forced_ai,surprising,60,0.5900279526321327,1.1972418650520294e-10,0.7534090909090909,1326,321,31,82,10
blind_vs_forced_ai,design,60,0.6169355862262877,7.799510301567522e-12,0.7840587902769927,1387,316,32,34,1
blind_vs_forced_human,fun,60,0.6832260861288105,4.034061810082094e-14,0.8154020385050963,1440,257,40,29,4
blind_vs_forced_human,challenging,60,0.6172229291025387,8.390206209884061e-12,0.7826825127334465,1383,314,22,48,3
blind_vs_forced_human,frustrating,60,0.5068056974764809,2.2096623769596194e-08,0.7239819004524887,1280,405,41,42,2
blind_vs_forced_human,surprising,60,0.5555917642296179,9.395976615676721e-10,0.7449095022624435,1317,360,39,52,2
blind_vs_forced_human,design,60,0.7010072232703167,7.222600089400021e-15,0.8279569892473119,1463,245,30,29,3
forced_ai_vs_forced_human,fun,60,0.6810592976396085,4.092512945675489e-14,0.8162803843979649,1444,261,32,32,1
forced_ai_vs_forced_human,challenging,60,0.7162365960899059,3.158367656476471e-15,0.8269012485811578,1457,224,38,43,8
forced_ai_vs_forced_human,frustrating,60,0.673779315182125,1.8852408063138095e-13,0.7976054732041049,1399,252,75,28,16
forced_ai_vs_forced_human,surprising,60,0.586365568793712,1.799231623862671e-10,0.743342776203966,1312,317,87,49,5
forced_ai_vs_forced_human,design,60,0.7313564490716575,4.93768357449154e-16,0.8421052631578947,1488,218,32,29,3
