game,map_id,true_creator,metric,forced_human,forced_ai,delta_human_minus_ai
mario,1AC82kGG,Human,,3.650000,2.950000,0.700000
mario,4PFJlLdR,AI,,3.800000,2.650000,1.150000
mario,4bMZDbcE,Human,,2.100000,1.950000,0.150000
mario,8cgqvaZu,AI,,2.800000,3.000000,-0.200000
mario,9Y6J8Rb8,AI,,1.500000,2.300000,-0.800000
mario,Jvmo5e7c,Human,,3.350000,2.950000,0.400000
mario,KKZ1dszi,AI,,2.150000,2.450000,-0.300000
mario,RtKfCoTJ,Human,,1.750000,1.250000,0.500000
mario,S7F69Idf,AI,,2.650000,2.450000,0.200000
mario,U3v9pEvF,AI,,2.700000,2.350000,0.350000
mario,V5XEzcZd,Human,,2.100000,2.800000,-0.700000
mario,XYTl4EzV,Human,,1.050000,1.000000,0.050000
mario,Xd8WtCNl,AI,,3.050000,3.100000,-0.050000
mario,br59gvRp,AI,,1.300000,1.150000,0.150000
mario,dwIZVZn4,AI,,1.900000,1.900000,0.000000
mario,fc3fEIzT,Human,,1.750000,1.550000,0.200000
mario,gZGPAuuB,Human,,3.100000,2.850000,0.250000
mario,gngXYJwH,AI,,3.600000,3.300000,0.300000
mario,ktod92pA,Human,,1.750000,1.550000,0.200000
mario,lY6ELCJ9,Human,,2.800000,3.050000,-0.250000
mario,lgoBPkQB,AI,,2.900000,2.100000,0.800000
mario,mmMjssLU,AI,,2.400000,1.850000,0.550000
mario,oGL3xUR2,Human,,1.700000,1.200000,0.500000
mario,pY9KB33X,Human,,2.300000,2.350000,-0.050000
mario,tMYRotFs,Human,,1.950000,1.350000,0.600000
mario,ueNqeTXa,AI,,1.450000,1.550000,-0.100000
mario,vHybWiYq,AI,,2.000000,1.300000,0.700000
mario,x3V9NLQt,Human,,2.900000,2.850000,0.050000
mario,xYnV8Xi7,AI,,1.000000,1.000000,0.000000
mario,yAXhWaGh,Human,,1.050000,1.050000,0.000000
sokoban,2v2qgbvC,Human,,1.700000,1.550000,0.150000
sokoban,3xtQxBWH,Human,,3.650000,3.200000,0.450000
sokoban,5Au4nrI2,Human,,3.200000,2.900000,0.300000
sokoban,5iXJGqnK,AI,,3.500000,3.150000,0.350000
sokoban,73sJaNBn,Human,,2.950000,2.350000,0.600000
sokoban,79DSy6TF,AI,,1.350000,1.800000,-0.450000
sokoban,7V2mu5KA,Human,,3.650000,2.400000,1.250000
sokoban,8Ua6YU1D,Human,,2.000000,1.550000,0.450000
sokoban,H77pn4iQ,AI,,3.850000,3.450000,0.400000
sokoban,HjLVlKx4,Human,,2.900000,2.200000,0.700000
sokoban,Iz5BqRyu,AI,,3.450000,2.900000,0.550000
sokoban,LUiVjpMm,AI,,1.850000,1.750000,0.100000
sokoban,QUT4qGl2,Human,,3.600000,3.250000,0.350000
sokoban,QV6Qfb7T,AI,,3.700000,3.100000,0.600000
sokoban,ROciIZDL,Human,,3.650000,3.050000,0.600000
sokoban,TIXMBKaj,Human,,3.300000,3.000000,0.300000
sokoban,UTSKBMio,AI,,3.400000,2.550000,0.850000
sokoban,UeeTjy5b,AI,,1.850000,1.500000,0.350000
sokoban,Z0SxyjXq,Human,,2.100000,2.600000,-0.500000
sokoban,aE7sjnta,AI,,2.500000,1.250000,1.250000
sokoban,bhRr4CCv,Human,,3.350000,3.350000,0.000000
sokoban,cHhvQJlr,AI,,2.650000,2.350000,0.300000
sokoban,cTxMstwv,AI,,3.300000,2.800000,0.500000
sokoban,extLxWet,AI,,2.600000,2.300000,0.300000
sokoban,f8sbFI0a,Human,,3.300000,2.850000,0.450000
sokoban,iJNJxWfZ,Human,,3.550000,3.300000,0.250000
sokoban,ij6onaGt,AI,,3.550000,3.100000,0.450000
sokoban,oHSLE5UO,AI,,1.850000,1.650000,0.200000
sokoban,t7mUz3Qe,Human,,2.100000,1.800000,0.300000
sokoban,wSCVt298,AI,,1.450000,1.700000,-0.250000
