map_id,status,video_path,error
8Ua6YU1D,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
t7mUz3Qe,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
7V2mu5KA,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
HjLVlKx4,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
5Au4nrI2,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
3xtQxBWH,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
QUT4qGl2,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
bhRr4CCv,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
iJNJxWfZ,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
TIXMBKaj,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
Z0SxyjXq,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
ROciIZDL,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
2v2qgbvC,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
73sJaNBn,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
f8sbFI0a,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
extLxWet,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
UTSKBMio,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
LUiVjpMm,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
cHhvQJlr,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
cTxMstwv,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
ij6onaGt,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
5iXJGqnK,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
H77pn4iQ,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
Iz5BqRyu,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
QV6Qfb7T,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
UeeTjy5b,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
oHSLE5UO,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
79DSy6TF,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
aE7sjnta,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
wSCVt298,failed,,TiffWriter.write() got an unexpected keyword argument 'fps'
