belief_group,metric,llm_mean,paper_mean,absolute_error,group_mae
AI,fun,1.5714285714285714,2.92,1.3485714285714285,1.6285714285714286
AI,challenge,1.5357142857142858,3.88,2.3442857142857143,1.6285714285714286
AI,frustration,2.0,3.6,1.6,1.6285714285714286
AI,surprise,1.2142857142857142,2.65,1.4357142857142857,1.6285714285714286
AI,design,1.2857142857142858,2.7,1.4142857142857144,1.6285714285714286
Human,fun,3.0,3.72,0.7200000000000002,1.28
Human,challenge,1.5,3.65,2.15,1.28
Human,frustration,1.0,2.84,1.8399999999999999,1.28
Human,surprise,1.5,2.62,1.12,1.28
Human,design,3.0,3.57,0.5699999999999998,1.28
