belief_group,metric,llm_mean,paper_mean,absolute_error,group_mae
AI,fun,1.9565217391304348,2.92,0.9634782608695651,1.55
AI,challenge,1.608695652173913,3.88,2.271304347826087,1.55
AI,frustration,1.565217391304348,3.6,2.034782608695652,1.55
AI,surprise,1.2173913043478262,2.65,1.4326086956521737,1.55
AI,design,1.6521739130434783,2.7,1.047826086956522,1.55
Human,fun,3.7142857142857144,3.72,0.005714285714285783,1.1377142857142857
Human,challenge,1.5714285714285714,3.65,2.0785714285714283,1.1377142857142857
Human,frustration,1.0,2.84,1.8399999999999999,1.1377142857142857
Human,surprise,1.1428571428571428,2.62,1.4771428571428573,1.1377142857142857
Human,design,3.857142857142857,3.57,0.28714285714285737,1.1377142857142857
