belief_group,metric,llm_mean,paper_mean,absolute_error,group_mae
AI,fun,2.125,2.92,0.7949999999999999,1.5
AI,challenge,1.25,3.88,2.63,1.5
AI,frustration,1.625,3.6,1.975,1.5
AI,surprise,1.0,2.65,1.65,1.5
AI,design,2.25,2.7,0.4500000000000002,1.5
Human,fun,3.590909090909091,3.72,0.12909090909090937,0.761818181818182
Human,challenge,2.6363636363636362,3.65,1.0136363636363637,0.761818181818182
Human,frustration,1.5454545454545454,2.84,1.2945454545454544,0.761818181818182
Human,surprise,1.3636363636363635,2.62,1.2563636363636366,0.761818181818182
Human,design,3.4545454545454546,3.57,0.11545454545454525,0.761818181818182
