map_index,map_id,status,map_path,video_path,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,enjoyment,enjoyment_std,difficulty,difficulty_std,frustration,frustration_std,novelty,novelty_std,aesthetics,aesthetics_std,error
1,x3V9NLQt,ok,outputs\procedural_mario_v2_blind\x3V9NLQt.txt,results\v1.3\procedural_mario\x3V9NLQt.mp4,20,20,,,,,3.200,0.600,1.650,0.477,1.000,0.000,1.900,0.539,2.650,0.792,
2,fc3fEIzT,ok,outputs\procedural_mario_v2_blind\fc3fEIzT.txt,results\v1.3\procedural_mario\fc3fEIzT.mp4,20,20,,,,,1.900,0.995,1.200,0.600,1.250,0.887,1.500,0.592,1.750,0.994,
3,RtKfCoTJ,ok,outputs\procedural_mario_v2_blind\RtKfCoTJ.txt,results\v1.3\procedural_mario\RtKfCoTJ.mp4,20,20,,,,,2.850,1.276,1.400,0.970,1.450,1.023,2.000,0.894,2.500,1.025,
4,Jvmo5e7c,ok,outputs\procedural_mario_v2_blind\Jvmo5e7c.txt,results\v1.3\procedural_mario\Jvmo5e7c.mp4,20,20,,,,,2.750,0.887,2.350,1.014,1.750,1.220,2.000,0.632,2.450,0.973,
5,V5XEzcZd,ok,outputs\procedural_mario_v2_blind\V5XEzcZd.txt,results\v1.3\procedural_mario\V5XEzcZd.mp4,20,20,,,,,2.250,0.942,2.100,1.261,1.900,1.411,1.800,0.872,1.800,0.678,
6,XYTl4EzV,ok,outputs\procedural_mario_v2_blind\XYTl4EzV.txt,results\v1.3\procedural_mario\XYTl4EzV.mp4,20,20,,,,,1.000,0.000,1.050,0.218,3.050,1.687,1.350,0.477,1.000,0.000,
7,pY9KB33X,ok,outputs\procedural_mario_v2_blind\pY9KB33X.txt,results\v1.3\procedural_mario\pY9KB33X.mp4,20,20,,,,,1.650,0.792,3.250,1.479,3.900,1.338,2.250,1.178,1.400,0.735,
8,lY6ELCJ9,ok,outputs\procedural_mario_v2_blind\lY6ELCJ9.txt,results\v1.3\procedural_mario\lY6ELCJ9.mp4,20,20,,,,,2.400,0.917,1.850,0.792,1.700,1.005,2.400,0.800,1.850,0.853,
9,ktod92pA,ok,outputs\procedural_mario_v2_blind\ktod92pA.txt,results\v1.3\procedural_mario\ktod92pA.mp4,20,20,,,,,1.600,0.800,3.700,1.054,4.500,0.592,2.200,0.812,1.400,0.735,
10,gZGPAuuB,ok,outputs\procedural_mario_v2_blind\gZGPAuuB.txt,results\v1.3\procedural_mario\gZGPAuuB.mp4,20,20,,,,,2.700,0.714,1.500,0.866,1.200,0.678,1.400,0.583,2.300,0.843,
11,1AC82kGG,ok,outputs\procedural_mario_v2_blind\1AC82kGG.txt,results\v1.3\procedural_mario\1AC82kGG.mp4,20,20,,,,,2.750,0.829,3.050,0.669,2.400,1.356,2.400,0.917,2.100,0.943,
12,oGL3xUR2,ok,outputs\procedural_mario_v2_blind\oGL3xUR2.txt,results\v1.3\procedural_mario\oGL3xUR2.mp4,20,20,,,,,1.750,0.433,1.300,0.900,1.650,1.314,2.000,0.894,1.400,0.490,
13,tMYRotFs,ok,outputs\procedural_mario_v2_blind\tMYRotFs.txt,results\v1.3\procedural_mario\tMYRotFs.mp4,20,20,,,,,1.550,0.589,4.200,0.927,4.750,0.433,2.300,0.954,1.250,0.698,
14,yAXhWaGh,ok,outputs\procedural_mario_v2_blind\yAXhWaGh.txt,results\v1.3\procedural_mario\yAXhWaGh.mp4,20,20,,,,,1.400,0.735,2.750,1.410,4.700,0.714,2.300,1.100,1.100,0.436,
15,4bMZDbcE,ok,outputs\procedural_mario_v2_blind\4bMZDbcE.txt,results\v1.3\procedural_mario\4bMZDbcE.mp4,20,20,,,,,1.550,0.497,2.450,1.431,2.900,1.700,1.250,0.536,1.350,0.477,
16,lgoBPkQB,ok,outputs\procedural_mario_v2_blind\lgoBPkQB.txt,results\v1.3\procedural_mario\lgoBPkQB.mp4,20,20,,,,,2.450,1.359,1.650,1.236,1.850,1.314,2.050,1.396,2.100,1.480,
17,xYnV8Xi7,ok,outputs\procedural_mario_v2_blind\xYnV8Xi7.txt,results\v1.3\procedural_mario\xYnV8Xi7.mp4,20,20,,,,,1.050,0.218,3.750,1.609,4.950,0.218,1.850,0.654,1.000,0.000,
18,U3v9pEvF,ok,outputs\procedural_mario_v2_blind\U3v9pEvF.txt,results\v1.3\procedural_mario\U3v9pEvF.mp4,20,20,,,,,1.700,0.557,4.100,0.889,4.350,0.910,2.250,0.887,1.300,0.557,
19,S7F69Idf,ok,outputs\procedural_mario_v2_blind\S7F69Idf.txt,results\v1.3\procedural_mario\S7F69Idf.mp4,20,20,,,,,1.900,0.768,1.250,0.698,1.250,0.766,1.600,0.917,1.650,0.726,
20,mmMjssLU,ok,outputs\procedural_mario_v2_blind\mmMjssLU.txt,results\v1.3\procedural_mario\mmMjssLU.mp4,20,20,,,,,1.500,0.671,1.800,1.077,3.450,1.117,2.350,1.388,1.250,0.887,
21,Xd8WtCNl,ok,outputs\procedural_mario_v2_blind\Xd8WtCNl.txt,results\v1.3\procedural_mario\Xd8WtCNl.mp4,20,20,,,,,1.750,0.433,4.350,0.572,4.400,0.490,2.700,0.954,1.450,0.589,
22,9Y6J8Rb8,ok,outputs\procedural_mario_v2_blind\9Y6J8Rb8.txt,results\v1.3\procedural_mario\9Y6J8Rb8.mp4,20,20,,,,,1.950,0.805,4.350,0.572,4.350,0.726,2.250,0.698,1.350,0.726,
23,gngXYJwH,ok,outputs\procedural_mario_v2_blind\gngXYJwH.txt,results\v1.3\procedural_mario\gngXYJwH.mp4,20,20,,,,,2.000,0.707,3.650,0.792,3.900,0.831,2.850,1.152,1.500,0.742,
24,KKZ1dszi,ok,outputs\procedural_mario_v2_blind\KKZ1dszi.txt,results\v1.3\procedural_mario\KKZ1dszi.mp4,20,20,,,,,1.700,0.900,3.850,0.963,4.250,1.220,1.800,0.678,1.400,0.917,
25,vHybWiYq,ok,outputs\procedural_mario_v2_blind\vHybWiYq.txt,results\v1.3\procedural_mario\vHybWiYq.mp4,20,20,,,,,2.100,0.831,3.050,1.359,3.350,1.558,2.200,1.208,1.500,0.806,
26,4PFJlLdR,ok,outputs\procedural_mario_v2_blind\4PFJlLdR.txt,results\v1.3\procedural_mario\4PFJlLdR.mp4,20,20,,,,,2.600,0.800,3.800,1.030,3.400,1.356,2.650,0.726,2.200,0.980,
27,dwIZVZn4,ok,outputs\procedural_mario_v2_blind\dwIZVZn4.txt,results\v1.3\procedural_mario\dwIZVZn4.mp4,20,20,,,,,2.750,0.994,2.300,1.269,2.050,1.532,2.100,0.889,2.250,0.887,
28,ueNqeTXa,ok,outputs\procedural_mario_v2_blind\ueNqeTXa.txt,results\v1.3\procedural_mario\ueNqeTXa.mp4,20,20,,,,,2.450,0.921,2.950,1.161,3.000,1.581,2.100,0.768,2.050,1.244,
29,br59gvRp,ok,outputs\procedural_mario_v2_blind\br59gvRp.txt,results\v1.3\procedural_mario\br59gvRp.mp4,20,20,,,,,2.350,1.276,2.400,1.281,2.550,1.746,1.800,0.980,2.100,1.179,
30,8cgqvaZu,ok,outputs\procedural_mario_v2_blind\8cgqvaZu.txt,results\v1.3\procedural_mario\8cgqvaZu.mp4,20,20,,,,,2.250,0.994,3.300,1.229,3.150,1.590,2.450,1.071,1.950,0.805,
