map_id,status,video_path,error
8Ua6YU1D,ok,outputs\procedural_sokoban_play\8Ua6YU1D.mp4,
t7mUz3Qe,ok,outputs\procedural_sokoban_play\t7mUz3Qe.mp4,
7V2mu5KA,ok,outputs\procedural_sokoban_play\7V2mu5KA.mp4,
HjLVlKx4,ok,outputs\procedural_sokoban_play\HjLVlKx4.mp4,
5Au4nrI2,ok,outputs\procedural_sokoban_play\5Au4nrI2.mp4,
3xtQxBWH,ok,outputs\procedural_sokoban_play\3xtQxBWH.mp4,
QUT4qGl2,ok,outputs\procedural_sokoban_play\QUT4qGl2.mp4,
bhRr4CCv,ok,outputs\procedural_sokoban_play\bhRr4CCv.mp4,
iJNJxWfZ,ok,outputs\procedural_sokoban_play\iJNJxWfZ.mp4,
TIXMBKaj,ok,outputs\procedural_sokoban_play\TIXMBKaj.mp4,
Z0SxyjXq,ok,outputs\procedural_sokoban_play\Z0SxyjXq.mp4,
