map_index,map_id,status,map_path,video_path,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,enjoyment,enjoyment_std,difficulty,difficulty_std,frustration,frustration_std,novelty,novelty_std,aesthetics,aesthetics_std,error
1,8Ua6YU1D,ok,outputs\procedural_sokoban_v2_blind\8Ua6YU1D.txt,results\v1.3\procedural_sokoban\8Ua6YU1D.mp4,20,20,,,,,1.750,0.887,1.550,1.023,1.950,1.658,1.100,0.436,2.100,0.831,
2,t7mUz3Qe,ok,outputs\procedural_sokoban_v2_blind\t7mUz3Qe.txt,results\v1.3\procedural_sokoban\t7mUz3Qe.mp4,20,20,,,,,2.350,0.726,1.200,0.400,1.000,0.000,1.100,0.300,3.100,0.700,
3,7V2mu5KA,ok,outputs\procedural_sokoban_v2_blind\7V2mu5KA.txt,results\v1.3\procedural_sokoban\7V2mu5KA.mp4,20,20,,,,,2.950,0.589,1.900,0.539,1.050,0.218,1.350,0.477,2.850,0.477,
4,HjLVlKx4,ok,outputs\procedural_sokoban_v2_blind\HjLVlKx4.txt,results\v1.3\procedural_sokoban\HjLVlKx4.mp4,20,20,,,,,2.850,0.572,1.800,0.678,1.050,0.218,1.200,0.400,2.500,0.592,
5,5Au4nrI2,ok,outputs\procedural_sokoban_v2_blind\5Au4nrI2.txt,results\v1.3\procedural_sokoban\5Au4nrI2.mp4,20,20,,,,,3.300,0.458,2.300,0.557,1.100,0.300,1.600,0.490,3.000,0.447,
6,3xtQxBWH,ok,outputs\procedural_sokoban_v2_blind\3xtQxBWH.txt,results\v1.3\procedural_sokoban\3xtQxBWH.mp4,20,20,,,,,3.263,0.849,2.526,0.939,1.263,0.547,1.737,0.636,3.526,0.678,
7,QUT4qGl2,ok,outputs\procedural_sokoban_v2_blind\QUT4qGl2.txt,results\v1.3\procedural_sokoban\QUT4qGl2.mp4,20,20,,,,,2.833,0.833,1.611,0.756,1.111,0.314,1.500,0.957,3.737,0.714,
8,bhRr4CCv,ok,outputs\procedural_sokoban_v2_blind\bhRr4CCv.txt,results\v1.3\procedural_sokoban\bhRr4CCv.mp4,20,20,,,,,2.389,1.112,1.833,0.833,1.389,1.112,1.500,0.764,3.100,0.768,
9,iJNJxWfZ,ok,outputs\procedural_sokoban_v2_blind\iJNJxWfZ.txt,results\v1.3\procedural_sokoban\iJNJxWfZ.mp4,20,20,,,,,3.550,0.589,1.900,0.624,1.000,0.000,2.100,1.179,3.750,0.698,
10,TIXMBKaj,ok,outputs\procedural_sokoban_v2_blind\TIXMBKaj.txt,results\v1.3\procedural_sokoban\TIXMBKaj.mp4,20,20,,,,,3.550,0.497,2.700,0.557,1.250,0.433,1.900,0.436,3.300,0.714,
11,Z0SxyjXq,ok,outputs\procedural_sokoban_v2_blind\Z0SxyjXq.txt,results\v1.3\procedural_sokoban\Z0SxyjXq.mp4,20,20,,,,,2.647,0.967,2.412,0.771,1.176,0.381,1.824,0.513,3.250,0.622,
12,ROciIZDL,ok,outputs\procedural_sokoban_v2_blind\ROciIZDL.txt,results\v1.3\procedural_sokoban\ROciIZDL.mp4,20,20,,,,,3.400,0.735,3.000,0.949,1.500,0.806,2.100,0.624,3.300,0.557,
13,2v2qgbvC,ok,outputs\procedural_sokoban_v2_blind\2v2qgbvC.txt,results\v1.3\procedural_sokoban\2v2qgbvC.mp4,20,20,,,,,2.800,0.678,1.900,0.768,1.100,0.300,1.300,0.458,3.150,0.853,
14,73sJaNBn,ok,outputs\procedural_sokoban_v2_blind\73sJaNBn.txt,results\v1.3\procedural_sokoban\73sJaNBn.mp4,20,20,,,,,3.150,0.572,2.000,0.548,1.100,0.300,1.450,0.497,3.500,0.500,
15,f8sbFI0a,ok,outputs\procedural_sokoban_v2_blind\f8sbFI0a.txt,results\v1.3\procedural_sokoban\f8sbFI0a.mp4,20,20,,,,,2.300,0.843,1.400,0.663,1.150,0.654,1.300,0.458,2.750,0.622,
16,extLxWet,ok,outputs\procedural_sokoban_v2_blind\extLxWet.txt,results\v1.3\procedural_sokoban\extLxWet.mp4,20,20,,,,,2.900,0.436,1.400,0.490,1.000,0.000,1.200,0.400,3.450,0.497,
