belief_group,metric,llm_mean,paper_mean,absolute_error,group_mae
AI,fun,1.986363636363636,2.92,0.9336363636363638,1.4936363636363637
AI,challenge,1.3318181818181818,3.88,2.548181818181818,1.4936363636363637
AI,frustration,1.3590909090909091,3.6,2.240909090909091,1.4936363636363637
AI,surprise,1.1863636363636365,2.65,1.4636363636363634,1.4936363636363637
AI,design,2.4181818181818184,2.7,0.28181818181818175,1.4936363636363637
Human,fun,3.0526315789473686,3.72,0.6673684210526316,1.1068421052631578
Human,challenge,1.9815789473684209,3.65,1.668421052631579,1.1068421052631578
Human,frustration,1.2289473684210528,2.84,1.611052631578947,1.1068421052631578
Human,surprise,1.5447368421052632,2.62,1.075263157894737,1.1068421052631578
Human,design,3.057894736842105,3.57,0.5121052631578946,1.1068421052631578
