belief_group,metric,llm_mean,paper_mean,absolute_error,group_mae
AI,fun,2.060810810810811,2.92,0.859189189189189,1.4745945945945946
AI,challenge,1.518918918918919,3.88,2.361081081081081,1.4745945945945946
AI,frustration,1.6716216216216218,3.6,1.9283783783783783,1.4745945945945946
AI,surprise,1.231081081081081,2.65,1.4189189189189189,1.4745945945945946
AI,design,1.8945945945945943,2.7,0.8054054054054058,1.4745945945945946
Human,fun,3.1130434782608694,3.72,0.6069565217391308,1.1130434782608696
Human,challenge,1.8978260869565218,3.65,1.7521739130434781,1.1130434782608696
Human,frustration,1.2282608695652173,2.84,1.6117391304347826,1.1130434782608696
Human,surprise,1.5108695652173914,2.62,1.1091304347826088,1.1130434782608696
Human,design,3.0847826086956522,3.57,0.4852173913043476,1.1130434782608696
